Itemno	WNUM	SentenceID	ID	CPOS	Head	DepRel
1	1	0	1	VBP	3	auxpass
1	2	0	2	NNS	3	nsubjpass
1	3	0	3	VBN	0	root
1	4	0	4	IN	6	case
1	5	0	5	DT	6	det
1	6	0	6	NNS	3	dobj
1	7	0	7	VBG	6	acl
1	8	0	8	PRP$	10	nmod
1	9	0	9	JJ	10	discourse
1	10	0	10	NN	7	dobj
1	10	0	11	.	3	punct
1	11	1	1	DT	4	det
1	12	1	2	CD	4	nummod
1	13	1	3	JJ	4	amod
1	14	1	4	NNS	5	nsubj
1	15	1	5	VBD	0	root
1	16	1	6	RB	5	neg
1	17	1	7	DT	9	det
1	18	1	8	JJS	9	amod
1	19	1	9	NN	5	dobj
1	20	1	10	IN	12	case
1	21	1	11	PRP$	12	nmod
1	22	1	12	NN	5	nmod
1	22	1	13	.	5	punct
1	23	2	1	PRP	3	nsubj
1	24	2	2	VBD	3	aux
1	25	2	3	VBG	0	root
1	26	2	4	IN	6	case
1	27	2	5	DT	6	det
1	28	2	6	NN	3	nmod
1	28	2	7	,	3	punct
1	29	2	8	VBG	3	conj
1	30	2	9	IN	8	compound
1	31	2	10	CC	8	cc
1	32	2	11	VBG	8	conj
1	33	2	12	IN	14	case
1	34	2	13	DT	14	det
1	35	2	14	NN	11	nmod
1	36	2	15	RB	11	advmod
1	36	2	16	,	3	punct
1	37	2	17	RB	18	advmod
1	38	2	18	VBG	3	conj
1	39	2	19	DT	21	det
1	40	2	20	JJ	21	amod
1	41	2	21	NNS	18	dobj
1	42	2	22	VBG	21	acl
1	43	2	23	RB	22	advmod
1	44	2	24	IN	25	case
1	45	2	25	PRP	22	nmod
1	45	2	26	.	3	punct
1	46	3	1	PRP$	2	nmod
1	47	3	2	NN	4	nsubj
1	48	3	3	RB	4	advmod
1	49	3	4	VBD	0	root
1	50	3	5	TO	6	mark
1	51	3	6	VB	4	xcomp
1	52	3	7	RB	6	advmod
1	53	3	8	IN	9	case
1	54	3	9	NNS	6	nsubj
1	55	3	10	IN	12	case
1	56	3	11	NN	12	compound
1	57	3	12	NNS	9	nmod
1	58	3	13	VBG	12	acl
1	59	3	14	IN	16	case
1	60	3	15	DT	16	det
1	61	3	16	NNS	13	nmod
1	61	3	17	,	19	punct
1	62	3	18	JJ	19	amod
1	63	3	19	NNS	12	appos
1	64	3	20	IN	24	case
1	65	3	21	RB	22	advmod
1	66	3	22	JJ	24	amod
1	67	3	23	NN	24	compound
1	68	3	24	NNS	19	nmod
1	68	3	25	,	26	punct
1	69	3	26	VBG	19	acl
1	70	3	27	IN	28	case
1	71	3	28	NN	26	nmod
1	72	3	29	IN	32	case
1	73	3	30	DT	32	det
1	74	3	31	JJ	32	amod
1	75	3	32	NN	28	nmod
1	76	3	33	CC	32	cc
1	77	3	34	DT	36	case
1	78	3	35	JJ	36	amod
1	79	3	36	NN	32	conj
1	79	3	37	,	26	punct
1	80	3	38	CC	26	cc
1	81	3	39	VBN	26	conj
1	82	3	40	RB	39	advmod
1	83	3	41	RB	40	compound
1	84	3	42	IN	43	case
1	85	3	43	NN	40	nmod
1	86	3	44	IN	45	case
1	87	3	45	RB	39	advmod
1	88	3	46	IN	48	case
1	89	3	47	DT	48	det
1	90	3	48	NNP	45	nmod
1	90	3	49	.	4	punct
1	91	4	1	DT	2	compound
1	92	4	2	RB	3	advmod
1	93	4	3	RBR	5	advmod
1	94	4	4	IN	3	compound
1	95	4	5	VBD	0	root
1	96	4	6	DT	8	det
1	97	4	7	JJ	8	amod
1	98	4	8	NNS	5	nsubj
1	98	4	9	,	10	punct
1	99	4	10	NNS	8	appos
1	100	4	11	IN	14	case
1	101	4	12	JJ	14	amod
1	102	4	13	JJ	14	amod
1	103	4	14	NNS	10	nmod
1	103	4	15	,	17	punct
1	104	4	16	RB	17	advmod
1	105	4	17	JJ	8	amod
1	105	4	18	.	5	punct
1	106	5	1	CC	4	cc
1	107	5	2	RB	4	advmod
1	108	5	3	EX	4	expl
1	109	5	4	VBD	0	root
1	110	5	5	DT	7	det
1	111	5	6	JJ	7	amod
1	112	5	7	NNS	4	nsubj
1	112	5	8	,	9	punct
1	113	5	9	NNS	7	appos
1	114	5	10	IN	12	case
1	115	5	11	JJ	12	amod
1	116	5	12	NNS	9	nmod
1	117	5	13	WP	20	mark
1	117	5	14	,	17	punct
1	118	5	15	IN	17	case
1	119	5	16	DT	17	det
1	120	5	17	NNS	20	nmod
1	120	5	18	,	17	punct
1	121	5	19	VBP	20	aux
1	122	5	20	VBN	9	acl
1	123	5	21	DT	22	det
1	124	5	22	NN	20	dobj
1	125	5	23	TO	24	mark
1	126	5	24	VB	22	acl
1	127	5	25	IN	33	mark
1	128	5	26	DT	27	det
1	129	5	27	NNS	33	nsubj
1	130	5	28	IN	30	case
1	131	5	29	DT	30	det
1	132	5	30	NN	27	nmod
1	133	5	31	VBP	33	cop
1	134	5	32	RB	33	advmod
1	135	5	33	JJ	20	advcl
1	136	5	34	PRP	35	nsubj
1	137	5	35	VBP	33	advcl
1	138	5	36	DT	37	neg
1	139	5	37	NN	35	dobj
1	140	5	38	TO	39	mark
1	141	5	39	VB	37	acl
1	141	5	40	.	4	punct
1	142	6	1	DT	2	det
1	143	6	2	NN	5	nsubj
1	144	6	3	IN	4	case
1	145	6	4	NNP	2	nmod
1	146	6	5	VBZ	0	root
1	147	6	6	IN	10	case
1	148	6	7	DT	10	det
1	149	6	8	RB	9	advmod
1	150	6	9	JJ	10	amod
1	151	6	10	NN	5	nmod
1	152	6	11	IN	14	case
1	153	6	12	DT	14	det
1	154	6	13	NNP	14	amod
1	155	6	14	NN	10	nmod
1	155	6	15	,	16	punct
1	156	6	16	VBN	5	acl
1	157	6	17	IN	19	case
1	158	6	18	DT	19	det
1	159	6	19	NN	16	nmod
1	160	6	20	WDT	22	mark
1	161	6	21	JJ	22	advmod
1	162	6	22	VBD	19	acl
1	163	6	23	RB	24	advmod
1	164	6	24	CD	25	nummod
1	165	6	25	NNS	26	nmod
1	166	6	26	RB	22	advmod
1	166	6	27	,	16	punct
1	167	6	28	CC	16	cc
1	168	6	29	NN	16	conj
1	169	6	30	TO	31	case
1	170	6	31	DT	29	nmod
1	171	6	32	IN	36	case
1	172	6	33	DT	36	det
1	173	6	34	RBS	35	advmod
1	174	6	35	JJ	36	amod
1	175	6	36	NN	31	nmod
1	176	6	37	IN	39	case
1	177	6	38	DT	39	det
1	178	6	39	NN	36	nmod
1	178	6	40	.	5	punct
1	179	7	1	PRP	2	expl
1	180	7	2	VBD	0	root
1	181	7	3	JJ	4	amod
1	182	7	4	NN	2	nsubj
1	183	7	5	IN	6	case
1	184	7	6	CD	2	nmod
1	185	7	7	IN	10	case
1	186	7	8	DT	10	det
1	187	7	9	JJ	10	amod
1	188	7	10	NNS	6	nmod
1	189	7	11	IN	13	case
1	190	7	12	DT	13	det
1	191	7	13	NN	10	nmod
1	191	7	14	,	2	punct
1	192	7	15	CC	2	cc
1	193	7	16	PRP	18	nsubj
1	194	7	17	VBD	18	aux
1	195	7	18	VBN	2	conj
1	196	7	19	RB	18	advmod
1	197	7	20	TO	21	mark
1	198	7	21	VB	18	xcomp
1	199	7	22	IN	21	compound
1	200	7	23	DT	27	det
1	201	7	24	JJ	27	amod
1	202	7	25	JJ	27	amod
1	203	7	26	NN	27	compound
1	204	7	27	NNS	21	dobj
1	205	7	28	IN	29	case
1	206	7	29	NNP	27	nmod
1	207	7	30	NNP	29	name
1	208	7	31	IN	33	case
1	209	7	32	DT	33	det
1	210	7	33	NN	29	nmod
1	210	7	34	.	2	punct
1	211	8	1	IN	5	case
1	212	8	2	DT	5	det
1	213	8	3	JJ	5	amod
1	214	8	4	NN	5	compound
1	215	8	5	NN	24	nmod
1	215	8	6	,	9	punct
1	216	8	7	IN	9	case
1	217	8	8	DT	9	det
1	218	8	9	NN	24	nmod
1	219	8	10	VBG	9	acl
1	220	8	11	IN	13	case
1	221	8	12	DT	13	det
1	222	8	13	NNS	10	nmod
1	223	8	14	IN	15	case
1	224	8	15	NNP	13	nmod
1	225	8	16	NNP	15	name
1	226	8	17	IN	19	case
1	227	8	18	DT	19	det
1	228	8	19	NN	13	nmod
1	228	8	20	,	9	punct
1	229	8	21	PRP	24	nsubjpass
1	230	8	22	MD	24	aux
1	231	8	23	VB	24	auxpass
1	232	8	24	VBN	0	root
1	233	8	25	IN	26	mark
1	234	8	26	VBG	24	advcl
1	235	8	27	IN	30	mark
1	236	8	28	PRP	30	nsubj
1	237	8	29	VBD	30	cop
1	238	8	30	NNS	26	ccomp
1	239	8	31	IN	32	case
1	240	8	32	NN	30	nmod
1	240	8	33	.	24	punct
1	241	9	1	DT	2	det
1	242	9	2	NNS	9	nsubj
1	243	9	3	PRP	4	nsubj
1	244	9	4	VBP	2	acl
1	245	9	5	IN	7	case
1	246	9	6	DT	7	det
1	247	9	7	NNP	4	nmod
1	248	9	8	VBP	9	cop
1	249	9	9	JJ	0	root
1	250	9	10	IN	12	case
1	251	9	11	PRP$	12	nmod
1	252	9	12	NN	9	nmod
1	252	9	13	.	9	punct
1	253	10	1	PRP	5	nsubj
1	254	10	2	VBP	5	cop
1	255	10	3	RB	4	discourse
1	256	10	4	RBR	5	advmod
1	257	10	5	RB	0	root
1	258	10	6	IN	8	case
1	259	10	7	PRP$	8	nmod
1	260	10	8	NN	5	nmod
1	261	10	9	IN	10	case
1	262	10	10	NN	8	nmod
1	262	10	11	.	5	punct
1	263	11	1	PRP	4	nsubj
1	264	11	2	VBP	4	aux
1	264	11	3	RB	4	neg
1	265	11	4	VB	0	root
1	266	11	5	RB	4	advmod
1	266	11	6	.	4	punct
1	267	12	1	PRP	2	nsubj
1	268	12	2	VBP	0	root
1	269	12	3	RP	2	compound
1	270	12	4	VBG	2	xcomp
1	271	12	5	CC	4	cc
1	272	12	6	VBG	4	conj
1	273	12	7	CC	4	cc
1	274	12	8	VBG	4	conj
1	275	12	9	CC	4	cc
1	276	12	10	VBG	4	conj
1	277	12	11	PRP$	12	nmod
1	278	12	12	NNS	10	dobj
1	279	12	13	CC	4	cc
1	280	12	14	VBG	4	conj
1	281	12	15	IN	16	case
1	282	12	16	NN	14	nmod
1	283	12	17	IN	19	case
1	284	12	18	JJ	19	amod
1	285	12	19	NN	2	nmod
1	286	12	20	IN	22	case
1	287	12	21	JJ	22	amod
1	288	12	22	NNS	19	nmod
1	288	12	23	.	2	punct
1	289	13	1	PRP	2	nsubj
1	290	13	2	VBZ	0	root
1	291	13	3	IN	7	mark
1	292	13	4	IN	3	mwe
1	293	13	5	PRP	7	nsubj
1	294	13	6	VBP	7	aux
1	295	13	7	VBG	2	ccomp
1	296	13	8	IN	10	case
1	297	13	9	DT	10	det
1	298	13	10	NNP	7	nmod
1	299	13	11	NNP	10	name
1	300	13	12	NN	10	compound
1	300	13	13	,	7	punct
1	301	13	14	CC	7	cc
1	302	13	15	VBG	7	conj
1	303	13	16	IN	22	mark
1	304	13	17	DT	19	det
1	305	13	18	JJ	19	amod
1	306	13	19	NN	22	nsubj
1	307	13	20	VBZ	22	cop
1	308	13	21	RB	22	advmod
1	309	13	22	RBR	15	ccomp
1	310	13	23	IN	26	mark
1	311	13	24	PRP	26	nsubj
1	312	13	25	RB	26	advmod
1	313	13	26	VBD	22	acl
1	313	13	27	.	2	punct
1	314	14	1	DT	2	det
1	315	14	2	NN	22	nsubj
1	316	14	3	IN	7	case
1	317	14	4	DT	7	det
1	318	14	5	VBG	7	amod
1	319	14	6	JJ	7	amod
1	320	14	7	NN	2	nmod
1	320	14	8	,	11	punct
1	321	14	9	IN	11	case
1	322	14	10	DT	11	det
1	323	14	11	NN	2	nmod
1	324	14	12	IN	14	case
1	325	14	13	JJ	14	amod
1	326	14	14	NN	11	nmod
1	327	14	15	CC	14	cc
1	328	14	16	JJ	17	amod
1	329	14	17	NNS	14	conj
1	330	14	18	CC	14	cc
1	331	14	19	JJ	20	amod
1	332	14	20	NN	14	conj
1	332	14	21	,	11	punct
1	333	14	22	VBZ	0	root
1	334	14	23	DT	25	det
1	335	14	24	NNP	25	compound
1	336	14	25	NN	22	dobj
1	337	14	26	NN	22	xcomp
1	337	14	27	.	22	punct
1	338	15	1	DT	2	det
1	339	15	2	NNS	3	nsubj
1	340	15	3	VBP	0	root
1	340	15	4	,	5	punct
1	341	15	5	RB	3	advmod
1	341	15	6	.	3	punct
1	342	16	1	DT	3	det
1	343	16	2	JJ	3	amod
1	344	16	3	NN	0	root
1	345	16	4	IN	6	case
1	346	16	5	DT	6	det
1	347	16	6	NN	3	nmod
1	347	16	7	,	3	punct
1	348	16	8	DT	10	det
1	349	16	9	JJ	10	amod
1	350	16	10	NN	3	conj
1	351	16	11	IN	12	case
1	352	16	12	NN	10	nmod
1	353	16	13	CC	12	cc
1	354	16	14	NN	12	conj
1	354	16	15	,	3	punct
1	355	16	16	DT	17	det
1	356	16	17	NN	3	conj
1	357	16	18	IN	21	case
1	358	16	19	DT	21	det
1	359	16	20	VBG	21	amod
1	360	16	21	NNS	17	nmod
1	360	16	22	,	3	punct
1	361	16	23	DT	24	det
1	362	16	24	NN	3	conj
1	363	16	25	IN	27	case
1	364	16	26	DT	27	det
1	365	16	27	NNS	24	nmod
1	365	16	28	,	3	punct
1	366	16	29	DT	31	det
1	367	16	30	JJ	31	amod
1	368	16	31	NN	3	conj
1	369	16	32	IN	35	case
1	370	16	33	DT	35	det
1	371	16	34	JJ	35	amod
1	372	16	35	NNS	31	nmod
1	372	16	36	,	3	punct
1	373	16	37	DT	39	det
1	374	16	38	VBG	39	amod
1	375	16	39	NN	3	conj
1	376	16	40	IN	41	case
1	377	16	41	NNS	39	nmod
1	378	16	42	IN	43	case
1	379	16	43	NNS	41	nmod
1	380	16	44	VBG	43	acl
1	381	16	45	IN	47	case
1	382	16	46	PRP$	47	nmod
1	383	16	47	NN	44	nmod
1	384	16	48	IN	51	case
1	385	16	49	DT	51	det
1	386	16	50	NN	51	compound
1	387	16	51	NN	44	nmod
1	387	16	52	.	3	punct
1	388	17	1	PRP	2	nsubj
1	389	17	2	VBD	0	root
1	390	17	3	CD	4	nummod
1	391	17	4	NNS	2	dobj
1	392	17	5	IN	6	case
1	393	17	6	DT	2	nmod
1	393	17	7	,	10	punct
1	394	17	8	IN	10	case
1	395	17	9	DT	10	det
1	396	17	10	NN	2	nmod
1	397	17	11	VBN	10	acl
1	398	17	12	NNP	11	xcomp
1	399	17	13	NNP	12	name
1	399	17	14	,	10	punct
1	400	17	15	VBG	2	xcomp
1	401	17	16	DT	17	det
1	402	17	17	NNS	15	dobj
1	403	17	18	IN	20	case
1	404	17	19	DT	20	det
1	405	17	20	NNS	17	nmod
1	405	17	21	.	2	punct
1	406	18	1	PRP	2	nsubj
1	407	18	2	VBD	0	root
1	407	18	3	,	2	punct
1	408	18	4	VBD	2	conj
1	409	18	5	CC	2	cc
1	410	18	6	VBD	2	conj
1	411	18	7	IN	9	case
1	412	18	8	DT	9	det
1	413	18	9	NN	2	nmod
1	414	18	10	CC	2	cc
1	415	18	11	VBD	2	conj
1	416	18	12	RB	11	advmod
1	417	18	13	CD	16	nummod
1	418	18	14	CC	13	cc
1	419	18	15	CD	13	conj
1	420	18	16	NNS	11	nmod
1	421	18	17	DT	18	det
1	422	18	18	NN	16	nmod
1	422	18	19	,	21	punct
1	423	18	20	TO	21	mark
1	424	18	21	VB	11	advcl
1	425	18	22	DT	23	det
1	426	18	23	NNS	21	dobj
1	426	18	24	,	21	punct
1	427	18	25	VB	21	conj
1	428	18	26	DT	27	det
1	429	18	27	NN	25	dobj
1	429	18	28	,	21	punct
1	430	18	29	CC	21	cc
1	431	18	30	VB	21	conj
1	432	18	31	IN	33	case
1	433	18	32	DT	33	det
1	434	18	33	NN	30	nmod
1	434	18	34	.	2	punct
1	435	19	1	DT	2	det
1	436	19	2	NN	8	nsubj
1	437	19	3	VBD	8	cop
1	438	19	4	RB	8	advmod
1	439	19	5	DT	6	det
1	440	19	6	RBS	7	advmod
1	441	19	7	JJ	8	amod
1	442	19	8	NN	0	root
1	443	19	9	PRP	12	nsubj
1	443	19	10	MD	12	aux
1	444	19	11	RB	12	advmod
1	445	19	12	VBD	8	acl
1	445	19	13	,	8	punct
1	446	19	14	CC	8	cc
1	447	19	15	VBD	19	cop
1	448	19	16	RB	19	advmod
1	449	19	17	RB	19	neg
1	450	19	18	DT	19	det
1	451	19	19	NN	8	conj
1	452	19	20	IN	22	case
1	453	19	21	JJ	22	amod
1	454	19	22	NN	19	nmod
1	454	19	23	.	8	punct
1	455	20	1	CC	7	cc
1	456	20	2	DT	7	nsubj
1	457	20	3	RB	7	advmod
