WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
Decisions                1     1     9     9     8     1   316     8     8     5       2
on                     -99     0     0     0     0     2     0     0     0     0       0
the                      1     1     3     3    14     3   154     1     1     2    3511
next                     1     1     4     4    20     4   145     3     3     6      35
phase                    1     1     5     5    22     5   180     0     0     3       4
of                     -99     0     0     0     0     6     0     0     0     0       0
the                    -99     0     0     0     0     7     0     0     0     0       0
unwisely                 1     1     8     8    37     8   198     2     2     4       2
unwisely                 1     1     8     8    35     8   184     0     0     7       2
named                    1     1     5     5    49     9   293     5     5     8       3
war                    -99     0     0     0     0    10     0     0     0     0       0
against                -99     0     0     0     0    11     0     0     0     0       0
terrorism                1     1     9     9    62    12   239     0     0     9       5
are                      1     1     3     3    73    13    66     1     1    10     351
creeping               -99     0     0     0     0    14     0     0     0     0       0
closer,                  1     2     7     6    13    15   164     4     4    12       6
and                    -99     0     0     0     0    16     0     0     0     0       0
most                   -99     0     0     0     0    17     0     0     0     0       0
of                       1     2     2     2    27    18   198     1     1    13    1757
the                    -99     0     0     0     0    19     0     0     0     0       0
signs                    1     2     5     5    38    20   173     5     5    14       9
are                    -99     0     0     0     0    21     0     0     0     0       0
that                   -99     0     0     0     0    22     0     0     0     0       0
George                   1     2     6     6    53    23   180     5     5    15       6
Bush                   -99     0     0     0     0    24     0     0     0     0       0
will                     1     2     4     4    64    25   159     4     4    16     210
get                    -99     0     0     0     0    26     0     0     0     0       0
them                   -99     0     0     0     0    27     0     0     0     0       0
wrong.                   1     2     6     5    78    28   311     4     4    17      16
After                    1     3     5     5     3    29   155     3     3    18      62
After                    1     3     5     5     5    29   391     5     5    21      62
he                     -99     0     0     0     0    30     0     0     0     0       0
used                     1     3     4     4    13    31   125     4     4    20      32
his                    -99     0     0     0     0    32     0     0     0     0       0
State                    1     3     5     5    20    33   270     2     2    19      36
of                     -99     0     0     0     0    34     0     0     0     0       0
the                    -99     0     0     0     0    35     0     0     0     0       0
Union                    1     3     5     5    33    36   212     2     2    22      13
address                  1     3     7     7    43    37   189     6     6    23       2
to                     -99     0     0     0     0    38     0     0     0     0       0
identify                 1     3     8     8    55    39   225     7     7    24       1
the                    -99     0     0     0     0    40     0     0     0     0       0
equally                  1     3     7     7    66    41   271     5     5    25       5
unwisely                 1     3     8     8    73    42   203     4     4    26       2
named                  -99     0     0     0     0    43     0     0     0     0       0
axis                   -99     0     0     0     0    44     0     0     0     0       0
of                       1     4     2     2    13    45   270     2     2    27    1757
evil,                  -99     0     0     0     0    46     0     0     0     0       0
the                    -99     0     0     0     0    47     0     0     0     0       0
pressing                 1     4     8     8    26    48   221     2     2    28       1
question                 1     4     8     8    37    49   232     4     4    29      12
is:                      1     4     3     2    45    50   168     3     3    30     717
what                   -99     0     0     0     0    51     0     0     0     0       0
is                     -99     0     0     0     0    52     0     0     0     0       0
to                     -99     0     0     0     0    53     0     0     0     0       0
be                       1     4     2     2    59    54   238     2     2    31     423
done                   -99     0     0     0     0    55     0     0     0     0       0
about                    1     4     5     5    68    56   152     3     3    32     164
