WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
*Blink                   1   -99     0     0   -99   -99    57   -99   -99   -99     -99
Lesley                   1     1     6     6     6     1   298     6     6   -99       9
Monk,                    1     1     5     4     7     2   218     0     0    -1       2
a                        1     1     1     1    13     3   254     0     0    -6    1434
51-year-old              1     1    11    11    19     4   289     4     4    -6     -99
from                     1     1     4     4    31     5   271     4     4   -12     248
Burnley,                 1     1     8     7    38     6   220     6     6    -7       1
explains                 1     1     8     8    47     7   243     6     6    -9       7
MacKenzie                1     1     9     9    61    10   192     3     3   -14       1
why                      1     1     3     3    68    11   281     0     0    -7      35
*Off-screen              1   -99     3     3   -99   -99   245   -99   -99   -99     -99
*Off-screen              1   -99     3     3   -99   -99   205   -99   -99   -99     -99
team                     1     2     4     4     7    15   182     3     3   -99      12
of                       1     2     2     2    11    16   127     2     2    -4    1757
huskies                  1     2     7     7    18    17   240     6     6    -7       2
conquer                  1     2     7     7    46    23   235     4     4   -28       2
the                      1     2     3     3    50    24   329     0     0    -4    3511
wastes                   1     2     6     6    58    25   205     4     4    -8       1
of                       1     2     2     2    63    26   140     2     2    -5    1757
*Off-screen              1   -99     2     2   -99   -99   209   -99   -99   -99     -99
this,                    1     3     5     4    23    32   226     1     1   -99     293
Lesley                   1     3     6     6    28    33   125     0     0    -5       9
taking                   1     3     6     6    48    36   396     5     5   -20      11
walk.                    1     3     5     4    65    41   196     0     0   -17       5
Sixteen                  1     3     7     7    71    42   214     0     0    -6       1
Sixteen                  1     3     7     7    78    42   134     7     7    -7       1
fact,                    1     4     5     4    14    46   218     3     3   -99      32
just                     1     4     4     4    28    49   219     3     3   -14      75
once-round-the-park.     1     4    20    19    42    53   240     0     0   -14     -99
once-round-the-park.     1     4    20    19    54    53   200    12    12   -12     -99
once-round-the-park.     1     4    20    19    60    53   206    18    18    -6     -99
being                    1     4     5     5    71    55   509     4     4   -11      54
the                      1     5     3     3     3    57   503     3     3   -99    3511
from                     1     5     4     4    34    61   271     1     1   -31     248
Lancashire               1     5    10    10    42    62   313     4     4    -8       2
one                      1     5     3     3    56    65   454     0     0   -14     176
day                      1     5     3     3    63    66   228     3     3    -7      35
1,100-                   1     5     6     5    72    69   305     0     0    -9     -99
1,100-                   1     5     6     5    75    69   333     3     3    -3     -99
1,100-                   1     5     6     5    78    69   286     6     6    -3     -99
trek                     2     1     4     4     5    71   289     0     0     0       1
across                   2     1     6     6    11    72   399     1     1    -6      28
trek                     2     1     4     4     5    71   192     0     0     6       1
wilderness,              2     1    11    10    36    76   257     0     0   -31       3
wilderness,              2     1    11    10    40    76   271     4     4    -4       3
only                     2     1     4     4    54    78   285     2     2   -14      97
British                  2     1     7     7    62    79   181     5     5    -8      77
competitor               2     1    10    10    73    80   355     8     8   -11       1
*Off-screen              2   -99    10    10   -99   -99   101   -99   -99   -99     -99
Iditarod,                2     2     9     8    17    84   266     5     5   -99       4
demanding                2     2     9     9    38    87   528     7     7   -21       3
dog-sled                 2     2     8     8    45    88   228     4     4    -7     -99
*Blink                   2   -99     8     8   -99   -99   104   -99   -99   -99     -99
most                     2     2     4     4    30    86    55     4     4   -99      93
earth.                   2     2     6     5    58    91   156     0     0   -28       8
*Off-screen              2   -99     6     5   -99   -99   191   -99   -99   -99     -99
*Off-screen              2   -99     6     5   -99   -99   123   -99   -99   -99     -99
event                    2     3     5     5    17    97   219     4     4   -99       6
as                       2     3     2     2    27    99   366     1     1   -10     422
Great                    2     3     5     5    41   102   296     2     2   -14      31
Last                     2     3     4     4    58   106   219     1     1   -17      73
Great                    2     3     5     5    63   107   289     1     1    -5      31
Place'                   2     3     6     5    69   108   264     1     1    -6      22
Place'                   2     3     6     5    72   108   183     4     4    -3      22
sipping                  2     4     7     7     9   111   309     6     6   -99       1
victory                  2     4     7     7    15   112   240     4     4    -6       4
front                    2     4     5     5    35   115   384     3     3   -20       3
roaring                  2     4     7     7    44   118   267     1     1    -9       1
inside                   2     4     6     6    59   120   440     3     3   -15       7
10                       2     4     2     2    66   122   369     0     0    -7     -99
inside                   2     4     6     6    62   120   222     6     6     4       7
Lesley                   2     5     6     6     2   124   264     2     2   -99       9
other                    2     5     5     5    18   127   188     3     3   -16      78
mushers                  2     5     7     7    25   129   186     1     1    -7       5
can                      2     5     3     3    33   130   265     1     1    -8     123
weeks                    2     5     5     5    56   133   211     5     5   -23      15
the                      2     5     3     3    63   135   270     3     3    -7    3511
which                    2     5     5     5    71   137   275     0     0    -8     152
*Off-screen              3   -99     5     5   -99   -99    65   -99   -99   -99     -99
will                     3     1     4     4     4   138   184     4     4   -99     210
them                     3     1     4     4    11   140   223     1     1    -7      80
limits                   3     1     6     6    22   143   182     0     0   -11       3
limits                   3     1     6     6    27   143   262     5     5    -5       3
their                    3     1     5     5    35   145   189     3     3    -8     225
endurance.               3     1    10     9    43   146   231     5     5    -8       1
bears,                   3     1     6     5    59   148   279     4     4   -16       3
river-ice                3     1     9     9    73   150   288     3     3   -14     -99
*Off-screen              3   -99     9     9   -99   -99   337   -99   -99   -99     -99
*Blink                   3   -99     9     9   -99   -99   133   -99   -99   -99     -99
temperatures             3     2    12    12    10   152   194     6     6   -99       1
-60C                     3     2     4     4    36   155   318     3     3   -26     -99
just                     3     2     4     4    42   157   209     0     0    -6      75
the                      3     2     3     3    58   160   249     3     3   -16    3511
optional                 3     2     8     8    64   161   204     5     5    -6       2
extras                   3     2     6     6    73   162   294     5     5    -9       1
*Off-screen              3   -99     6     6   -99   -99   105   -99   -99   -99     -99
itinerary                3     3     9     9     6   166   239     1     1   -99       1
