WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
The                      1     1     3     3     2     1    80     2     2     0    3511
case                     1     1     4     4     8     2   172     4     4    -6      26
of                       1     1     2     2    11     3    91     2     2    -3    1757
Susan                    1     1     5     5    18     5   173     3     3    -7       3
Wallace,                 1     1     8     7    22     6   117     1     1    -4       4
Wallace,                 1     1     8     7    26     6   246     5     5    -4       4
Susan                    1     1     5     5    18     5   174     3     3     8       3
Wallace,                 1     1     8     7    21     6   170     0     0    -3       4
went                     1     1     4     4    36     8   210     2     2   -15      13
went                     1     1     4     4    34     8    91     0     0     2      13
Susan                    1     1     5     5    15     5   207     0     0    19       3
went                     1     1     4     4    37     8   259     3     3   -22      13
down                     1     1     4     4    43     9   184     4     4    -6      38
local                    1     1     5     5    52    12   166     1     1    -9      15
with                     1     1     4     4    60    13   196     3     3    -8     393
Igwig                    1     1     5     5    66    14   278     4     4    -6       1
iguana,                  1     1     7     6    75    16   273     3     3    -9       4
Igwig                    1     1     5     5    62    14   122     0     0    13       1
with                     1     1     4     4    59    13   104     2     2     3     393
us                       1     2     2     2    17    20   190     1     1   -99      86
that                     1     2     4     4    23    22   131     0     0    -6     871
go                       1     2     2     2    28    23   113     0     0    -5      40
well                     1     2     4     4    34    24   182     3     3    -6      48
beyond                   1     2     6     6    40    25   174     4     4    -6      11
blindingly               1     2    10    10    51    27   153     4     4   -11       1
obvious                  1     2     7     7    61    28   148     3     3   -10      12
not                      1     2     3     3    72    30   153     2     2   -11     277
take                     1     2     4     4    77    31    82     3     3    -5      42
to                       1     3     2     2    13    34   128     1     1   -99    1597
pub'.                    1     3     5     3    19    36   218     0     0    -6       2
Wallace,                 1     3     8     7    31    38   272     3     3   -12       4
may                      1     3     3     3    41    40   187     0     0   -10      67
recall,                  1     3     7     6    46    41   200     1     1    -5       8
may                      1     3     3     3    42    40   240     1     1     4      67
just                     1     3     4     4    58    43   228     1     1   -16      75
