WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
The                    -99     0     0     0     0     1     0     0     0     0       0
money                    1     1     5     5     5     2   181     1     1     1      37
ain't                    1     1     5     5    12     3   191     2     2     2     -99
the                    -99     0     0     0     0     4     0     0     0     0       0
problem.                 1     1     8     7    21     5   143     1     1     3      24
problem.                 1     1     8     7    23     5    99     3     3     4      24
It's                   -99     0     0     0     0     6     0     0     0     0       0
what                     1     1     4     4    34     7   174     0     0     5     125
what                     1     1     4     4    37     7    67     3     3     6     125
you                    -99     0     0     0     0     8     0     0     0     0       0
do                     -99     0     0     0     0     9     0     0     0     0       0
with                   -99     0     0     0     0    10     0     0     0     0       0
it.                      1     1     3     2    51    11   129     0     0     7     544
The                    -99     0     0     0     0    12     0     0     0     0       0
developed                1     1     9     9    63    13   160     0     0     8       4
developed                1     1     9     9    67    13    91     4     4     9       4
world                    1     1     5     5    74    14   102     1     1    10      60
has                    -99     0     0     0     0    15     0     0     0     0       0
taken                  -99     0     0     0     0    16     0     0     0     0       0
on                     -99     0     0     0     0    17     0     0     0     0       0
board                    1     2     5     5    16    18   182     3     3    11       2
the                    -99     0     0     0     0    19     0     0     0     0       0
task                     1     2     4     4    27    20   191     4     4    12       6
of                     -99     0     0     0     0    21     0     0     0     0       0
rebuilding               1     2    10    10    35    22   206     4     4    13       1
the                    -99     0     0     0     0    23     0     0     0     0       0
shattered                1     2     9     9    50    24   200     4     4    14       3
economy                  1     2     7     7    59    25   122     3     3    15      17
of                     -99     0     0     0     0    26     0     0     0     0       0
Afghanistan              1     2    11    11    67    27    86     0     0    16       7
Afghanistan              1     2    11    11    71    27   157     4     4    17       7
and                    -99     0     0     0     0    28     0     0     0     0       0
has                    -99     0     0     0     0    29     0     0     0     0       0
just                   -99     0     0     0     0    30     0     0     0     0       0
pledged                  1     3     7     7    15    31   130     2     2    18       2
pledged                  1     3     7     7    20    31   104     7     7    19       2
$1.8bn                   1     3     6     5    27    32   111     6     6    21     -99
(œ1.3bn)                 1     3     8     5    28    33   156     0    -1    22     -99
(œ1.3bn)                 1     3     8     5    33    33   172     5     4    23     -99
(œ1.3bn)                 1     3     8     5    34    33   157     6     5    24     -99
in                     -99     0     0     0     0    34     0     0     0     0       0
the                      1     3     3     3    42    35   170     2     2    25    3511
first                    1     3     5     5    48    36   167     4     4    26      87
year                     1     3     4     4    53    37    91     3     3    27      51
to                     -99     0     0     0     0    38     0     0     0     0       0
this                     1     3     4     4    60    39   203     2     2    28     293
end,                     1     3     4     3    64    40    93     1     1    29      32
with                   -99     0     0     0     0    41     0     0     0     0       0
a                        1     3     1     1    73    42   146     0     0    30    1434
total                    1     3     5     5    76    43    72     1     1    31       3
of                     -99     0     0     0     0    44     0     0     0     0       0
$4.5bn                 -99     0     0     0     0    45     0     0     0     0       0
over                     1     4     4     4    10    46    78     0     0    32      76
the                    -99     0     0     0     0    47     0     0     0     0       0
next                   -99     0     0     0     0    48     0     0     0     0       0
few                    -99     0     0     0     0    49     0     0     0     0       0
years.                   1     4     6     5    29    50    76     1     1    33     104
years.                   1     4     6     5    33    50    95     5     5    34     104
That                   -99     0     0     0     0    51     0     0     0     0       0
is                     -99     0     0     0     0    52     0     0     0     0       0
already                  1     4     7     7    44    53   163     1     1    35      24
already                  1     4     7     7    49    53    59     6     6    36      24
nearly                   1     4     6     6    54    54   176     3     3    37       6
half                     1     4     4     4    62    55   160     4     4    38      20
way                    -99     0     0     0     0    56     0     0     0     0       0
to                       1     4     2     2    68    57   156     1     1    39    1597
the                      1     4     3     3    73    58   111     3     3    40    3511
UN                     -99     0     0     0     0    59     0     0     0     0       0
target                   1     5     6     6     6    60   159     6     6    41       7
of                     -99     0     0     0     0    61     0     0     0     0       0
$10bn                    1     5     5     5    14    62   350     4     4    42     -99
-                      -99     0     0     0     0    63     0     0     0     0       0
although                 1     5     8     8    24    64   186     6     6    43      19
the                    -99     0     0     0     0    65     0     0     0     0       0
World                    1     5     5     5    32    66   168     1     1    44      60
Bank                   -99     0     0     0     0    67     0     0     0     0       0
reckons                  1     5     7     7    42    68   177     0     0    45       1
reckons                  1     5     7     7    46    68   209     4     4    46       1
that                   -99     0     0     0     0    69     0     0     0     0       0
$15                      1     5     3     3    55    70   185     0     0    47     -99
billion                  1     5     7     7    62    71   246     3     3    48       2
will                     1     5     4     4    69    72   353     2     2    49     210
eventually               2     1    10    10     5    73   176     5     5    50      13
be                     -99     0     0     0     0    74     0     0     0     0       0
needed.                  2     1     7     6    17    75   164     3     3    51       9
needed.                  2     1     7     6    21    75    70     7     7    52       9
The                    -99     0     0     0     0    76     0     0     0     0       0
task                     2     1     4     4    30    77   201     4     4    53       6
now                      2     1     3     3    34    78   105     3     3    54     107
is                     -99     0     0     0     0    79     0     0     0     0       0
to                       2     1     2     2    39    80   112     1     1    55    1597
make                     2     1     4     4    45    81    97     4     4    56      60
sure                     2     1     4     4    50    82    57     4     4    58      14
that                   -99     0     0     0     0    83     0     0     0     0       0
the                      2     1     3     3    57    84   160     1     1    59    3511
money                    2     1     5     5    64    85   166     4     4    60      37
does                     2     1     4     4    68    86    68     2     2    61      45
not                      2     1     3     3    71    87    66     0     0    62     277
disappear              -99     0     0     0     0    88     0     0     0     0       0
down                   -99     0     0     0     0    89     0     0     0     0       0
a                      -99     0     0     0     0    90     0     0     0     0       0
black                    2     2     5     5    17    91   173     0     0    63      10
black                    2     2     5     5    22    91   104     5     5    64      10
hole                     2     2     4     4    27    92   182     4     4    65       2
and                    -99     0     0     0     0    93     0     0     0     0       0
that                   -99     0     0     0     0    94     0     0     0     0       0
there                    2     2     5     5    38    95   165     1     1    66     189
