WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
When                     1     1     4     4     2     1   202     2     2     1     144
I                      -99     0     0     0     0     2     0     0     0     0       0
was                      1     1     3     3    10     3   174     3     3     2     383
about                  -99     0     0     0     0     4     0     0     0     0       0
20,                      1     1     3     2    20     5   189     3     3     3     -99
I                      -99     0     0     0     0     6     0     0     0     0       0
worked                 -99     0     0     0     0     7     0     0     0     0       0
in                       1     1     2     2    30     8   209     0     0     4    1091
an                     -99     0     0     0     0     9     0     0     0     0       0
office.                  1     1     7     6    37    10   127     1     1     5      11
Every                    1     1     5     5    48    11   205     4     4     7      45
morning                -99     0     0     0     0    12     0     0     0     0       0
there                    1     1     5     5    59    13   169     1     1     8     189
would                    1     1     5     5    69    14   143     5     5     9     146
be                     -99     0     0     0     0    15     0     0     0     0       0
that                   -99     0     0     0     0    16     0     0     0     0       0
little                   1     2     6     6     2    17   203     2     2    10      33
joke,                  -99     0     0     0     0    18     0     0     0     0       0
where                    1     2     5     5    13    19   352     0     0    11      58
anyone                   1     2     6     6    25    20   162     6     6    12       9
who                    -99     0     0     0     0    21     0     0     0     0       0
arrived                  1     2     7     7    32    22   248     2     2    13       9
five                     1     2     4     4    42    23   182     4     4    14      18
minutes                -99     0     0     0     0    24     0     0     0     0       0
late                   -99     0     0     0     0    25     0     0     0     0       0
would                    1     2     5     5    56    26   257     0     0    15     146
say                    -99     0     0     0     0    27     0     0     0     0       0
'Morning'                1     2     9     7    71    28   300     5     4    16      17
and                      1     2     3     3    78    29    82     2     2    17    1283
everyone                 1     3     8     8     2    30   120     2     2    19       7
would                  -99     0     0     0     0    31     0     0     0     0       0
call                   -99     0     0     0     0    32     0     0     0     0       0
back                     1     3     4     4    23    33   137     3     3    20      38
'Afternoon'.             1     3    12     9    28    34   182     3     2    21       4
The                    -99     0     0     0     0    35     0     0     0     0       0
next                     1     3     4     4    48    36   432     2     2    22      35
joke                   -99     0     0     0     0    37     0     0     0     0       0
would                    1     3     5     5    59    38   222     3     3    23     146
come                   -99     0     0     0     0    39     0     0     0     0       0
at                       1     3     2     2    68    40   204     1     1    24     269
about                    1     3     5     5    74    41   147     4     4    25     164
11,                    -99     0     0     0     0    42     0     0     0     0       0
when                   -99     0     0     0     0    43     0     0     0     0       0
the                      1     4     3     3     5    44    70     0     0    26    3511
boss                     1     4     4     4    12    45   195     3     3    27       1
would                  -99     0     0     0     0    46     0     0     0     0       0
take                   -99     0     0     0     0    47     0     0     0     0       0
his                      1     4     3     3    27    48   178     2     2    28     161
coffee                 -99     0     0     0     0    49     0     0     0     0       0
cup                      1     4     3     3    36    50   155     0     0    29       9
across                   1     4     6     6    45    51   219     5     5    30      28
to                     -99     0     0     0     0    52     0     0     0     0       0
the                    -99     0     0     0     0    53     0     0     0     0       0
sink                     1     4     4     4    55    54   186     1     1    31       4
to                     -99     0     0     0     0    55     0     0     0     0       0
rinse                    1     4     5     5    65    56   311     3     3    32       1
it                     -99     0     0     0     0    57     0     0     0     0       0
out.                     1     4     4     3    72    58    70     1     1    33     113
Every                    1     5     5     5     4    59   146     4     4    35      45
day                    -99     0     0     0     0    60     0     0     0     0       0
he'd                   -99     0     0     0     0    61     0     0     0     0       0
say,                     1     5     4     3    17    62   205     2     2    36      49
'Just                  -99     0     0     0     0    63     0     0     0     0       0
going                    1     5     5     5    29    64   236     3     3    37      39
off                    -99     0     0     0     0    65     0     0     0     0       0
to                     -99     0     0     0     0    66     0     0     0     0       0
wash                     1     5     4     4    41    67   233     2     2    38       4
my                     -99     0     0     0     0    68     0     0     0     0       0
thing                    1     5     5     5    49    69   198     2     2    39      24
-                      -99     0     0     0     0    70     0     0     0     0       0
ha                     -99     0     0     0     0    71     0     0     0     0       0
ha                     -99     0     0     0     0    72     0     0     0     0       0
ha.'                     1     5     4     2    61    73   354     0     0    40       4
And                    -99     0     0     0     0    74     0     0     0     0       0
every                    1     5     5     5    72    75   361     2     2    41      45
day                    -99     0     0     0     0    76     0     0     0     0       0
I                        2     1     1     1     1    77   207     1     1    43     327
wished                 -99     0     0     0     0    78     0     0     0     0       0
I                      -99     0     0     0     0    79     0     0     0     0       0
had                      2     1     3     3    11    80   215     0     0    44     130
the                    -99     0     0     0     0    81     0     0     0     0       0
guts                     2     1     4     4    23    82   160     4     4    45       1
to                     -99     0     0     0     0    83     0     0     0     0       0
wait                     2     1     4     4    29    84   173     2     2    48       7
five                     2     1     4     4    34    85   254     2     2    47      18
minutes,                 2     1     8     7    43    86   191     6     6    49       8
say                    -99     0     0     0     0    87     0     0     0     0       0
'Just                    2     1     5     4    50    88   181     0    -1    50      75
going                    2     1     5     5    56    89   201     0     0    51      39
off                      2     1     3     3    65    90   160     3     3    52      28
to                     -99     0     0     0     0    91     0     0     0     0       0
wash                     2     1     4     4    71    92    92     2     2    53       4
my                     -99     0     0     0     0    93     0     0     0     0       0
thing,'                -99     0     0     0     0    94     0     0     0     0       0
then                   -99     0     0     0     0    95     0     0     0     0       0
walk                   -99     0     0     0     0    96     0     0     0     0       0
to                     -99     0     0     0     0    97     0     0     0     0       0
the                    -99     0     0     0     0    98     0     0     0     0       0
sink,                  -99     0     0     0     0    99     0     0     0     0       0
get                    -99     0     0     0     0   100     0     0     0     0       0
my                     -99     0     0     0     0   101     0     0     0     0       0
knob                   -99     0     0     0     0   102     0     0     0     0       0
out                    -99     0     0     0     0   103     0     0     0     0       0
and                    -99     0     0     0     0   104     0     0     0     0       0
scrub                  -99     0     0     0     0   105     0     0     0     0       0
it                     -99     0     0     0     0   106     0     0     0     0       0
with                   -99     0     0     0     0   107     0     0     0     0       0
a                      -99     0     0     0     0   108     0     0     0     0       0
dishcloth.               2     2    10     9    72   109   115     5     5    61       1
Like                   -99     0     0     0     0   110     0     0     0     0       0
most                   -99     0     0     0     0   111     0     0     0     0       0
office                 -99     0     0     0     0   112     0     0     0     0       0
workers,                 2     3     8     7    24   113   250     7     7    55       6
I                      -99     0     0     0     0   114     0     0     0     0       0
never                  -99     0     0     0     0   115     0     0     0     0       0
had                      2     3     3     3    34   116   342     0     0    56     130
any                    -99     0     0     0     0   117     0     0     0     0       0
idea                   -99     0     0     0     0   118     0     0     0     0       0
of                       2     3     2     2    48   119   214     1     1    57    1757
the                      2     3     3     3    53   120   186     3     3    58    3511
purpose                -99     0     0     0     0   121     0     0     0     0       0
of                       2     3     2     2    64   122   235     2     2    59    1757
my                     -99     0     0     0     0   123     0     0     0     0       0
office,                -99     0     0     0     0   124     0     0     0     0       0
though                   2     4     6     6     2   125   226     2     2    60      37
the                    -99     0     0     0     0   126     0     0     0     0       0
supervisor             -99     0     0     0     0   127     0     0     0     0       0
does                   -99     0     0     0     0   128     0     0     0     0       0
his                    -99     0     0     0     0   129     0     0     0     0       0
best                   -99     0     0     0     0   130     0     0     0     0       0
to                     -99     0     0     0     0   131     0     0     0     0       0
make                   -99     0     0     0     0   132     0     0     0     0       0
out                    -99     0     0     0     0   133     0     0     0     0       0
the                    -99     0     0     0     0   134     0     0     0     0       0
job                    -99     0     0     0     0   135     0     0     0     0       0
is                     -99     0     0     0     0   136     0     0     0     0       0
extremely              -99     0     0     0     0   137     0     0     0     0       0
important              -99     0     0     0     0   138     0     0     0     0       0
when                   -99     0     0     0     0   139     0     0     0     0       0
you                      2     5     3     3     7   140   190     2     2    63     179
first                  -99     0     0     0     0   141     0     0     0     0       0
get                      2     5     3     3    18   142   260     3     3    64      48
there.                 -99     0     0     0     0   143     0     0     0     0       0
'Well                    2     5     5     4    29   144   215     3     2    65      48
it's                     2     5     4     4    35   145   120     3     3    67     152
a                      -99     0     0     0     0   146     0     0     0     0       0
pleasure                 2     5     8     8    39   147   199     0     0    66       4
to                     -99     0     0     0     0   148     0     0     0     0       0
have                     2     5     4     4    53   149    62     2     2    68     361
have                     2     5     4     4    54   149   207     3     3    69     361
you                    -99     0     0     0     0   150     0     0     0     0       0
with                     2     5     4     4    60   151   133     0     0    71     393
us                       2     5     2     2    66   152   207     1     1    70      86
as                     -99     0     0     0     0   153     0     0     0     0       0
a                      -99     0     0     0     0   154     0     0     0     0       0
vital                  -99     0     0     0     0   155     0     0     0     0       0
part                     3     1     4     4     3   156   213     3     3    91      35
part                     3     1     4     4     0   156   259     0     0    99      35
of                     -99     0     0     0     0   157     0     0     0     0       0
the                    -99     0     0     0     0   158     0     0     0     0       0
team.                    3     1     5     4    12   159   203     0     0    92      12
You'll                   3     1     6     6    24   160   162     6     6    93     -99
be                     -99     0     0     0     0   161     0     0     0     0       0
sitting                  3     1     7     7    31   162   187     3     3    94       8
here,                  -99     0     0     0     0   163     0     0     0     0       0
with                     3     1     4     4    42   164   191     0     0    95     393
Harold,                  3     1     7     6    49   165   188     2     2    96       5
and                    -99     0     0     0     0   166     0     0     0     0       0
every                    3     1     5     5    61   167   209     2     2    97      45
morning                  3     1     7     7    67   168   136     2     2    98      17
the                    -99     0     0     0     0   169     0     0     0     0       0
newspapers             -99     0     0     0     0   170     0     0     0     0       0
will                   -99     0     0     0     0   171     0     0     0     0       0
be                     -99     0     0     0     0   172     0     0     0     0       0
delivered                3     2     9     9    23   173   231     4     4   100       4
to                     -99     0     0     0     0   174     0     0     0     0       0
your                     3     2     4     4    35   175   182     3     3   101      65
desk                   -99     0     0     0     0   176     0     0     0     0       0
here.                  -99     0     0     0     0   177     0     0     0     0       0
Now                      3     2     3     3    50   178   163     2     2   102     107
your                   -99     0     0     0     0   179     0     0     0     0       0
job                    -99     0     0     0     0   180     0     0     0     0       0
is                     -99     0     0     0     0   181     0     0     0     0       0
to                       3     2     2     2    65   182   196     1     1   103    1597
go                     -99     0     0     0     0   183     0     0     0     0       0
through                -99     0     0     0     0   184     0     0     0     0       0
all                    -99     0     0     0     0   185     0     0     0     0       0
those                    3     3     5     5     4   186   204     0     0   104      59
newspapers,              3     3    11    10    13   187   182     3     3   105       4
one                    -99     0     0     0     0   188     0     0     0     0       0
by                       3     3     2     2    27   189   320     1     1   106     252
one,                   -99     0     0     0     0   190     0     0     0     0       0
very                   -99     0     0     0     0   191     0     0     0     0       0
carefully                3     3     9     9    40   192   214     1     1   107       5
indeed,                  3     3     7     6    49   193   190     0     0   108      26
and                    -99     0     0     0     0   194     0     0     0     0       0
colour                   3     3     6     6    61   195   217     0     0   109       4
in                       3     3     2     2    70   196   141     2     2   110    1091
the                    -99     0     0     0     0   197     0     0     0     0       0
Os.                    -99     0     0     0     0   198     0     0     0     0       0
Be                       3     4     2     2     1   199   184     1     1   111     423
very                   -99     0     0     0     0   200     0     0     0     0       0
careful                  3     4     7     7     8   201   137     0     0   112       3
not                      3     4     3     3    18   202   212     2     2   113     277
to                     -99     0     0     0     0   203     0     0     0     0       0
do                     -99     0     0     0     0   204     0     0     0     0       0
the                      3     4     3     3    29   205   208     3     3   114    3511
noughts                -99     0     0     0     0   206     0     0     0     0       0
in                     -99     0     0     0     0   207     0     0     0     0       0
the                    -99     0     0     0     0   208     0     0     0     0       0
sports                   3     4     6     6    45   209   332     0     0   115       3
sports                   3     4     6     6    51   209   348     6     6   116       3
pages,                 -99     0     0     0     0   210     0     0     0     0       0
and                    -99     0     0     0     0   211     0     0     0     0       0
when                     3     4     4     4    66   212   236     3     3   117     144
you've                   3     4     6     6    68   213    71     0     0   118     -99
finished,                3     5     9     8     2   214   182     2     2   119       2
hand                     3     5     4     4    13   215   405     3     3   120      15
them                   -99     0     0     0     0   216     0     0     0     0       0
across                   3     5     6     6    23   217   176     3     3   121      28
to                     -99     0     0     0     0   218     0     0     0     0       0
Harold                   3     5     6     6    35   219   228     5     5   122       5
for                    -99     0     0     0     0   220     0     0     0     0       0
authorisation.'          3     5    15    13    46   221   219     5     5   123       1
And                    -99     0     0     0     0   222     0     0     0     0       0
poor                     3     5     4     4    68   223   492     3     3   124      16
Harold,                -99     0     0     0     0   224     0     0     0     0       0
who's                    4     1     5     5     2   225    57     2     2   125     -99
who's                    4     1     5     5     3   225   146     3     3   126     -99
been                   -99     0     0     0     0   226     0     0     0     0       0
there                    4     1     5     5    14   227   186     3     3   127     189
54                     -99     0     0     0     0   228     0     0     0     0       0
years,                   4     1     6     5    22   229   184     2     2   128     104
will                   -99     0     0     0     0   230     0     0     0     0       0
say,                     4     1     4     3    34   231   175     2     2   129      49
'Cor                   -99     0     0     0     0   232     0     0     0     0       0
blimey,                  4     1     7     6    42   233   258     0     0   130       1
it's                   -99     0     0     0     0   234     0     0     0     0       0
like                     4     1     4     4    55   235   278     0     0   131      99
a                      -99     0     0     0     0   236     0     0     0     0       0
madhouse                 4     1     8     8    66   237   229     4     4   132       1
in                       4     1     2     2    73   238   171     2     2   133    1091
here                   -99     0     0     0     0   239     0     0     0     0       0
sometimes.               4     2    10     9     2   240    51     2     2   135      12
We                     -99     0     0     0     0   241     0     0     0     0       0
were                     4     2     4     4    14   242   229     0     0   136     106
in                     -99     0     0     0     0   243     0     0     0     0       0
here                     4     2     4     4    25   244   178     3     3   137      29
until                  -99     0     0     0     0   245     0     0     0     0       0
20                       4     2     2     2    33   246   105     0     0   138     -99
past                     4     2     4     4    40   247   146     4     4   140      27
seven                  -99     0     0     0     0   248     0     0     0     0       0
one                      4     2     3     3    47   249   368     0     0   141     176
night,                   4     2     6     5    51   250   177     0     0   142      12
you                      4     2     3     3    60   251   214     2     2   143     179
know.                  -99     0     0     0     0   252     0     0     0     0       0
The                      4     2     3     3    70   253   192     2     2   144    3511
evening                -99     0     0     0     0   254     0     0     0     0       0
newspaper              -99     0     0     0     0   255     0     0     0     0       0
had                    -99     0     0     0     0   256     0     0     0     0       0
a                        4     3     1     1    15   257   244     1     1   146    1434
big                    -99     0     0     0     0   258     0     0     0     0       0
article                  4     3     7     7    24   259   282     4     4   147       2
about                  -99     0     0     0     0   260     0     0     0     0       0
Yoko                     4     3     4     4    34   261   272     0     0   148       1
Ono                      4     3     3     3    42   262   258     3     3   149       1
going                  -99     0     0     0     0   263     0     0     0     0       0
up                     -99     0     0     0     0   264     0     0     0     0       0
the                      4     3     3     3    52   265   229     0     0   150    3511
Orinoco,                 4     3     8     7    56   266   267     0     0   151       1
you                      4     3     3     3    65   267   283     0     0   152     179
see.'                  -99     0     0     0     0   268     0     0     0     0       0
Recently,                4     4     9     8     4   269    89     4     4   153      12
for                    -99     0     0     0     0   270     0     0     0     0       0
the                      4     4     3     3    16   271   195     2     2   154    3511
first                    4     4     5     5    22   272   146     4     4   155      87
time                   -99     0     0     0     0   273     0     0     0     0       0
since,                   4     4     6     5    32   274   316     3     3   156      32
I've                   -99     0     0     0     0   275     0     0     0     0       0
been                     4     4     4     4    42   276   279     1     1   157     178
commuting                4     4     9     9    48   277   344     2     2   158       1
to                     -99     0     0     0     0   278     0     0     0     0       0
an                       4     4     2     2    59   279   323     0     0   159     195
office                   4     4     6     6    65   280   231     3     3   160      11
again,                   4     4     6     5    74   281   149     5     5   161      28
and                    -99     0     0     0     0   282     0     0     0     0       0
I                      -99     0     0     0     0   283     0     0     0     0       0
realise                  4     5     7     7     3   284   169     1     1   162       6
that                   -99     0     0     0     0   285     0     0     0     0       0
I'd                      4     5     3     3    18   286   160     3     3   163     -99
forgotten                4     5     9     9    25   287    81     6     6   164       5
the                    -99     0     0     0     0   288     0     0     0     0       0
most                     4     5     4     4    37   289   272     4     4   165      93
important              -99     0     0     0     0   290     0     0     0     0       0
aspect                   4     5     6     6    52   291   235     4     4   166       5
of                     -99     0     0     0     0   292     0     0     0     0       0
the                    -99     0     0     0     0   293     0     0     0     0       0
whole                    4     5     5     5    62   294   244     0     0   167      12
business.                4     5     9     8    70   295   146     2     2   168      27
business.                4     5     9     8    76   295   162     8     8   169      27
It                     -99     0     0     0     0   296     0     0     0     0       0
starts                   5     1     6     6     6   297   229     6     6   172       5
with                   -99     0     0     0     0   298     0     0     0     0       0
getting                  5     1     7     7    13   299   170     1     1   171      23
the                    -99     0     0     0     0   300     0     0     0     0       0
train,                   5     1     6     5    24   301   179     0     0   173       4
train,                   5     1     6     5    30   301   117     6     6   174       4
which                  -99     0     0     0     0   302     0     0     0     0       0
has                    -99     0     0     0     0   303     0     0     0     0       0
been                     5     1     4     4    41   304   240     0     0   175     178
at                     -99     0     0     0     0   305     0     0     0     0       0
least                  -99     0     0     0     0   306     0     0     0     0       0
10                       5     1     2     2    57   307   241     2     2   176     -99
minutes                  5     1     7     7    64   308   156     6     6   177       8
late                   -99     0     0     0     0   309     0     0     0     0       0
every                    5     1     5     5    74   310   291     3     3   178      45
day                    -99     0     0     0     0   311     0     0     0     0       0
except                   5     2     6     6     2   312   202     2     2   179       4
once.                  -99     0     0     0     0   313     0     0     0     0       0
But                    -99     0     0     0     0   314     0     0     0     0       0
a                      -99     0     0     0     0   315     0     0     0     0       0
new                      5     2     3     3    20   316   110     1     1   180      93
trick                    5     2     5     5    27   317   168     4     4   181       2
has                    -99     0     0     0     0   318     0     0     0     0       0
