WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
Our                      1     1     3     3     1     1   372     1     1     0      84
scientists               1     1    10    10    10     3   194     1     1    -9       6
used                     1     1     4     4    24     4   179     4     4   -14      32
confined                 1     1     8     8    33     7   243     2     2    -9       1
university               1     1    10    10    45     9   237     2     2   -12      18
research.                1     1     9     8    54    10   265     0     0    -9      22
Now                      1     1     3     3    67    11   227     3     3   -13     107
*Blink                   1   -99     3     3   -99   -99    59   -99   -99   -99     -99
profiting                1     2     9     9     1    14   162     1     1   -99       1
their                    1     2     5     5    20    16   170     5     5   -19     225
criticisms               1     2    10    10    40    19    52     2     2   -20       1
criticisms               1     2    10    10    39    19   179     1     1     1       1
Some                     1     2     4     4    36    18    95     3     3     3      86
Britain                  1     2     7     7    56    21   203     4     4   -20      26
come                     1     2     4     4    64    22   216     4     4    -8      37
*Off-screen              1   -99     4     4   -99   -99   175   -99   -99   -99     -99
*Blink                   1   -99     4     4   -99   -99    68   -99   -99   -99     -99
seem                     1     3     4     4     1    26   120     1     1   -99      18
shift.                   1     3     6     5    23    29   179     4     4   -22       1
nearly                   1     3     6     6    33    31   208     3     3   -10       6
century,                 1     3     8     7    43    33   136     4     4   -10       4
country                  1     3     7     7    54    35   210     1     1   -11      32
lived                    1     3     5     5    67    37   159     2     2   -13       6
*Blink                   1   -99     5     5   -99   -99    66   -99   -99   -99     -99
sorry                    1     4     5     5     1    40    70     1     1   -99       4
we                       1     4     2     2    14    42   189     2     2   -13     179
disproportionate         1     4    16    16    29    45   168     7     7   -15       1
number                   1     4     6     6    41    46   229     2     2   -12      18
world's                  1     4     7     7    55    49   222     2     2   -14       2
most                     1     4     4     4    65    50   183     4     4   -10      93
*Blink                   1   -99     4     4   -99   -99    58   -99   -99   -99     -99
scientific               1     5    10    10     1    52   146     1     1   -99      14
scientific               1     5    10    10    10    52   176    10    10    -9      14
but                      1     5     3     3    19    54   174     1     1    -9     325
truly                    1     5     5     5    26    56    60     0     0    -7       4
terrible                 1     5     8     8    35    57   213     3     3    -9       6
exploiting               1     5    10    10    47    59   212     3     3   -12       1
exploiting               1     5    10    10    48    59   131     4     4    -1       1
all                      1     5     3     3    70    62   232     1     1   -22     167
that                     1     5     4     4    77    63   113     4     4    -7     871
becoming                 2     1     8     8     1    65   355     1     1     0       5
thing                    2     1     5     5    14    67   197     3     3   -13      24
past.                    2     1     5     4    26    70   102     2     2   -12      27
market                   2     1     6     6    34    72   174     0     0    -8      19
bubble                   2     1     6     6    45    73   254     4     4   -11       4
1999-2000                2     1     9     9    52    75   279     1     1    -7     -99
1999-2000                2     1     9     9    56    75   197     5     5    -4     -99
showed                   2     1     6     6    64    76   124     3     3    -8       2
*Blink                   2   -99     6     6   -99   -99    62   -99   -99   -99     -99
science,                 2     2     8     7     1    78   232     1     1   -99      19
in                       2     2     2     2    10    79   158     1     1    -9    1091
forms,                   2     2     6     5    22    82   161     2     2   -12       4
huge                     2     2     4     4    33    85   159     0     0   -11      14
capacity                 2     2     8     8    40    86   146     2     2    -7       5
excite.                  2     2     7     6    52    88   201     2     2   -12       1
Small,                   2     2     6     5    61    89   197     3     3    -9      14
university-              2     2    11    11    74    90    95     9     9   -13      18
*Blink                   2   -99    11    11   -99   -99    62   -99   -99   -99     -99
originated               2     3    10    10     1    91   105     1     1   -99       1
companies                2     3     9     9    11    92   227     0     0   -10      12
Osmetech,                2     3     9     8    29    95   236     0     0   -18       1
Osmetech,                2     3     9     8    33    95   133     4     4    -4       1
which                    2     3     5     5    43    96   233     4     4   -10     152
a                        2     3     1     1    52    98   224     1     1    -9    1434
'nose',                  2     3     7     4    65   100   225     4     3   -13       2
target                   2     5     6     6    75   124   209     6     6   -99       7
*Blink                   2   -99     6     6   -99   -99    63   -99   -99   -99     -99
Pharmaceuticals,         2     4    16    15     1   103   174     1     1   -99       1
makes                    2     4     5     5    25   105   146     2     2   -24      14
which                    2     4     5     5    18   104   112     1     1     7     152
gene-based               2     4    10    10    33   106   310     4     4   -15     -99
medicine,                2     4     9     8    44   107   180     4     4   -11       4
the                      2     4     3     3    56   109   143     2     2   -12    3511
nano-                    2     4     5     5    59   110   121     1     1    -3     -99
technology               2     4    10    10    67   111   513     3     3    -8      14
researcher               2     5    10    10     1   112   190     1     1   -99       1
researcher               2     5    10    10     8   112   187     8     8    -7       1
just                     2     5     4     4    26   115   216     3     3   -18      75
that                     2     5     4     4    34   117   150     0     0    -8     871
have                     2     5     4     4    41   118   162     2     2    -7     361
