WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
Rather                   1     1     6     6     1     1    63     1     1     0      42
Rather                   1     1     6     6     4     1   198     4     4    -3      42
Basil                    1     1     5     5    12     3   111     2     2    -8       1
Basil                    1     1     5     5    14     3   147     4     4    -2       1
Fawlty                   1     1     6     6    19     4   102     3     3    -5       1
couldn't                 1     1     8     8    23     5   193     0     0    -4     -99
couldn't                 1     1     8     8    29     5   215     6     6    -6     -99
stop                     1     1     4     4    34     6   210     2     2    -5      10
talking                  1     1     7     7    38     7   133     1     1    -4       5
talking                  1     1     7     7    43     7    55     6     6    -5       5
about                    1     1     5     5    49     8   212     4     4    -6     164
war                      1     1     3     3    55    10   147     0     0    -6      28
his                      1     1     3     3    63    12   134     1     1    -8     161
*Blink                   1   -99     3     3   -99   -99    77   -99   -99   -99     -99
guests,                  1     1     7     6    76    14   179     3     3   -99       3
guests,                  1     1     7     6    77    14   130     4     4    -1       3
his                      1     1     3     3    62    12   199     0     0    15     161
*Blink                   1   -99     3     3   -99   -99    67   -99   -99   -99     -99
Peter                    1     2     5     5     4    16    80     1     1   -99      11
Hain,                    1     2     5     4     9    17   184     0     0    -5       6
Hain,                    1     2     5     4    13    17   189     4     4    -4       6
Minister                 1     2     8     8    22    19   178     3     3    -9      24
for                      1     2     3     3    31    20   141     3     3    -9     519
Europe,                  1     2     7     6    34    21   197     2     2    -3      18
finds                    1     2     5     5    41    22   226     1     1    -7       4
it                       1     2     2     2    47    23   286     1     1    -6     544
almost                   1     2     6     6    50    24   226     1     1    -3      16
impossible               1     2    10    10    57    25   206     1     1    -7      11
to                       1     2     2     2    68    26   157     1     1   -11    1597
talking                  1     3     7     7     4    28    75     4     4   -99       5
the                      1     3     3     3    14    30   204     0     0   -10    3511
euro,                    1     3     5     4    21    31   167     3     3    -7       7
even                     1     3     4     4    28    32   192     4     4    -7      84
though                   1     3     6     6    35    33   219     6     6    -7      37
knows                    1     3     5     5    40    35   268     1     1    -5       8
he                       1     3     2     2    47    36   267     2     2    -7     265
shouldn't.               1     3    10     9    51    37   113     3     3    -4     -99
*Blink                   1   -99    10     9   -99   -99   104   -99   -99   -99     -99
a                        1     3     1     1    66    39   373     0     0   -99    1434
conversation             1     3    12    12    70    40   103     2     2    -4       2
In                       1     3     2     2    65    38   152     2     2     5    1091
conversation             1     3    12    12    73    40   165     5     5    -8       2
Le                       1     4     2     2     5    42   258     0     0   -99       2
Figaro                   1     4     6     6    12    43   207     4     4    -7       2
can                      1     4     3     3    20    45   181     0     0    -8     123
hardly                   1     4     6     6    25    46   233     1     1    -5      11
fail                     1     4     4     4    31    47   154     0     0    -6       3
fail                     1     4     4     4    35    47   197     4     4    -4       3
inflame                  1     4     7     7    40    49   239     1     1    -5       1
inflame                  1     4     7     7    41    49   255     2     2    -1       1
Treasury,                1     4     9     8    51    51   160     0     0   -10       2
Treasury,                1     4     9     8    54    51   268     3     3    -3       2
Mr                       1     4     2     2    62    52   201     1     1    -8     109
Hain                     1     4     4     4    66    53   117     2     2    -4       6
has                      1     4     3     3    71    54   352     2     2    -5     239
floated                  1     5     7     7     2    56    78     2     2   -99       3
detailed                 1     5     8     8    11    58   231     1     1    -9       3
detailed                 1     5     8     8    14    58   207     4     4    -3       3
timetable                1     5     9     9    21    59   232     2     2    -7       2
detailed                 1     5     8     8    16    58   168     6     6     5       3
timetable                1     5     9     9    23    59   136     4     4    -7       2
for                      1     5     3     3    31    60   184     2     2    -8     519
potential                1     5     9     9    37    61   341     4     4    -6      11
British                  1     5     7     7    44    62   188     1     1    -7      77
British                  1     5     7     7    48    62   102     5     5    -4      77
entry                    1     5     5     5    53    63   185     2     2    -5      11
into                     1     5     4     4    60    64   290     3     3    -7      82
currency,                2     1     9     8     9    67   147     9     9     0       4
pointing                 2     1     8     8    11    68   106     1     1    -2       3
to                       2     1     2     2    20    69   237     1     1    -9    1597
referendum               2     1    10    10    27    71   274     3     3    -7       8
referendum               2     1    10    10    30    71   173     6     6    -3       8
the                      2     1     3     3    41    73   210     3     3   -11    3511
and                      2     1     3     3    51    75    57     2     2   -10    1283
and                      2     1     3     3    51    75   169     2     2     0    1283
autumn                   2     1     6     6    56    76   152     3     3    -5       5
2003.                    2     1     5     4    64    78   218     1     1    -8     -99
2003.                    2     1     5     4    66    78   152     3     3    -2     -99
As                       2     1     2     2    71    79   392     2     2    -5     422
happens,                 2     2     8     7     8    81   204     8     8   -99       5
Hain's                   2     2     6     6    17    83   210     5     5    -9     -99
remarks                  2     2     7     7    23    84   243     4     4    -6       2
were                     2     2     4     4    31    85   100     4     4    -8     106
not                      2     2     3     3    35    86   201     3     3    -4     277
of                       2     2     2     2    43    88   161     2     2    -8    1757
some                     2     2     4     4    48    89   278     4     4    -5      86
some                     2     2     4     4    44    89   148     0     0     4      86
to                       2     2     2     2    56    91   235     2     2   -12    1597
soften                   2     2     6     6    63    92   144     6     6    -7       1
British                  2     2     7     7    67    94   100     0     0    -4      77
entry.                   2     3     6     5    15    97    79     3     3   -99      11
*Blink                   2   -99     6     5   -99   -99    63   -99   -99   -99     -99
Jack                     2     3     4     4    26    99   216     1     1   -99       4
Today                    2     3     5     5    24    98   174     5     5     2      13
Jack                     2     3     4     4    27    99   115     2     2    -3       4
Straw                    2     3     5     5    33   100    88     3     3    -6       6
travels                  2     3     7     7    39   101   219     3     3    -6       1
The                      2     3     3     3    47   103   235     0     0    -8    3511
Hague                    2     3     5     5    51   104   150     0     0    -4       2
*Off-screen              2   -99     5     5   -99   -99   107   -99   -99   -99     -99
the                      3     1     3     3    12   139   209     3     3     0    3511
of                       3     1     2     2    18   141   177     1     1    -6    1757
month                    3     1     5     5    28   143   160     3     3   -10      10
under                    3     1     5     5    32   144   175     1     1    -4      32
the                      3     1     3     3    38   145   141     1     1    -6    3511
chairmanship             3     1    12    12    45   146   261     4     4    -7       1
chairmanship             3     1    12    12    49   146   181     8     8    -4       1
Valery                   3     1     6     6    59   148   149     2     2   -10       1
*Blink                   3   -99     6     6   -99   -99   106   -99   -99   -99     -99
Giscard                  3     1     7     7    65   149   461     1     1   -99       7
Valery                   3     1     6     6    59   148   365     2     2     6       1
Giscard                  3     1     7     7    67   149   221     3     3    -8       7
Giscard                  3     1     7     7    65   149   140     1     1     2       7
It                       3     2     2     2    11   151   364     0     0   -99     544
It                       3     2     2     2    13   151   255     2     2    -2     544
hardly                   3     2     6     6    20   153   207     2     2    -7      11
the                      3     2     3     3    29   155   162     1     1    -9    3511
interests                3     2     9     9    35   156   266     3     3    -6       6
Mr                       3     2     2     2    46   158   202     1     1   -11     109
as                       3     2     2     2    54   160   114     0     0    -8     422
the                      3     2     3     3    59   161   217     2     2    -5    3511
senior                   3     2     6     6    66   162   177     5     5    -7       6
as                       3     2     2     2    56   160   323     2     2    10     422
senior                   3     2     6     6    66   162   137     5     5   -10       6
the                      3     3     3     3    21   166   122     3     3   -99    3511
the                      3     3     3     3    20   166   155     2     2     1    3511
Convention,              3     3    11    10    27   167   184     5     5    -7       8
do                       3     3     2     2    37   169    66     0     0   -10      75
Mr                       3     5     2     2    32   192    53     2     2   -99     109
distract                 3     3     8     8    52   172   168     0     0   -99       2
to                       3     3     2     2    49   171   142     0     0     3    1597
from                     3     3     4     4    61   173   242     0     0   -12     248
his                      3     3     3     3    66   174   313     0     0    -5     161
daunting                 3     4     8     8    13   179   192     0     0   -99       2
daunting                 3     4     8     8    18   179   215     5     5    -5       2
exercise                 3     4     8     8    26   180   181     4     4    -8       4
constitution-buildin     3     4    21    21    37   182   385     3     3   -11     -99
constitution-buildin     3     4    21    21    47   182   144    13    13   -10     -99
in                       3     4     2     2    56   183   159     0     0    -9    1091
which                    3     4     5     5    62   184   196     3     3    -6     152
he                       3     4     2     2    65   185   153     0     0    -3     265
What's                   3     5     6     6    21   190   170     4     4   -99     -99
more,                    3     5     5     4    29   191   153     5     5    -8     168
Hain                     3     5     4     4    34   193   107     1     1    -5       6
What's                   3     5     6     6    17   190   352     0     0    17     -99
Mr                       3     5     2     2    32   192   260     2     2   -15     109
Hain                     3     5     4     4    35   193   135     2     2    -3       6
didn't                   3     5     6     6    41   194   235     3     3    -6     -99
Hain                     3     5     4     4    36   193   188     3     3     5       6
didn't                   3     5     6     6    41   194   184     3     3    -5     -99
Hain                     3     5     4     4    36   193   380     3     3     5       6
Hain                     3     5     4     4    35   193   159     2     2     1       6
didn't                   3     5     6     6    40   194   190     2     2    -5     -99
really                   3     5     6     6    47   195   224     2     2    -7      34
confide                  3     5     7     7    53   196   307     1     1    -6       1
confide                  3     5     7     7    56   196   434     4     4    -3       1
that                     4     1     4     4    12   201   249     3     3     0     871
isn't                    4     1     5     5    19   202   188     5     5    -7     -99
very                     4     1     4     4    25   204   174     3     3    -6      56
open                     4     1     4     4    28   205   203     1     1    -3      10
secret                   4     1     6     6    33   206   158     1     1    -5      12
secret                   4     1     6     6    36   206   133     4     4    -3      12
Whitehall,               4     1    10     9    44   208   206     2     2    -8       5
Whitehall,               4     1    10     9    47   208   138     5     5    -3       5
namely                   4     1     6     6    55   209   201     2     2    -8       1
*Blink                   4   -99     6     6   -99   -99    90   -99   -99   -99     -99
that                     4     1     4     4    60   210   243     0     0   -99     871
a                        4     1     1     1    66   211   156     1     1    -6    1434
working                  4     1     7     7    70   212   262     3     3    -4      22
