WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
of                       1     1     2     2    13     3    90     0     0     0    1757
decision                 1     1     8     8     5     2   192     1     1     8      11
Human                    1     1     5     5    25     5   251     5     5   -20      25
Fertility                1     1     9     9    29     6    95     3     3    -4       1
Fertility                1     1     9     9    34     6   217     8     8    -5       1
Embryology               1     1    10    10    46     8   288     6     6   -12       3
*Blink                   1   -99    10    10   -99   -99   104   -99   -99   -99     -99
Authority                1     1     9     9    57     9   260     6     6   -99       8
Authority                1     1     9     9    55     9   128     4     4     2       8
(HFEA)                   1     1     6     4    66    10   269     5     4   -11       6
to                       1     1     2     2    69    11   169     1     1    -3    1597
a                        1     1     1     1    78    13   137     1     1    -9    1434
allow                    1     1     5     5    74    12   172     3     3     4       6
*Off-screen              1   -99     5     5   -99   -99    53   -99   -99   -99     -99
*Off-screen              1   -99     5     5   -99   -99   179   -99   -99   -99     -99
couple                   1     2     6     6     5    14   117     5     5   -99       7
genetically              1     2    11    11    17    17   220     0     0   -12       2
genetically              1     2    11    11    21    17   205     4     4    -4       2
genetically              1     2    11    11    27    17   350    10    10    -6       2
next                     1     2     4     4    37    19   198     2     2   -10      35
genetically              1     2    11    11    28    17   248    11    11     9       2
next                     1     2     4     4    36    19    53     1     1    -8      35
baby                     1     2     4     4    41    20    63     1     1    -5       5
*Blink                   1   -99     4     4   -99   -99    64   -99   -99   -99     -99
baby                     1     2     4     4    44    20   111     4     4   -99       5
baby                     1     2     4     4    42    20   195     2     2     2       5
bound                    1     2     5     5    51    22   181     2     2    -9       2
to                       1     2     2     2    55    23   162     0     0    -4    1597
concerns                 1     2     8     8    64    25   199     0     0    -9       2
that                     1     2     4     4    74    26   274     1     1   -10     871
*Off-screen              1   -99     4     4   -99   -99   120   -99   -99   -99     -99
biotechnology            1     3    13    13    24    29    62    12    12   -99       4
disorder                 1     5     8     8    25    57    63     5     5   -99       4
biotechnology            1     3    13    13    25    29    67    13    13   -99       4
biotechnology            1     3    13    13    24    29   123    12    12     1       4
biotechnology            1     3    13    13    18    29   181     6     6     6       4
ahead                    1     3     5     5    37    32   203     0     0   -19       9
racing                   1     3     6     6    32    31   111     2     2     5       4
whose                    1     5     5     5    33    59    62     0     0   -99      11
are                      1     3     3     3    28    30   161     2     2   -99     351
racing                   1     3     6     6    36    31   199     6     6    -8       4
racing                   1     3     6     6    32    31    80     2     2     4       4
ahead                    1     3     5     5    38    32   120     1     1    -6       9
of                       1     3     2     2    43    33   244     0     0    -5    1757
ability                  1     3     7     7    54    35   191     4     4   -11       9
ability                  1     3     7     7    50    35   292     0     0     4       9
control                  1     3     7     7    62    37   397     1     1   -12      10
*Off-screen              1   -99     7     7   -99   -99   153   -99   -99   -99     -99
disorder                 1     5     8     8    26    57    82     6     6   -99       4
at                       1     4     2     2    27    42    53     2     2   -99     269
at                       1     4     2     2    25    42   140     0     0     2     269
couple                   1     4     6     6    22    41   271     4     4     3       7
centre                   1     4     6     6    34    44   163     2     2   -12      16
the                      1     4     3     3    31    43   139     3     3     3    3511
best                     1     5     4     4    40    60   157     1     1   -99      23
case                     1     4     4     4    47    47   313     0     0   -99      26
have                     1     4     4     4    52    48   373     0     0    -5     361
son                      1     4     3     3    59    50   203     0     0    -7       6
a                        1     4     1     1    57    49   334     0     0     2    1434
suffers                  1     4     7     7    68    52   247     1     1   -11       1
transplant               1     5    10    10    69    65    94     8     8   -99       1
suffers                  1     4     7     7    68    52    52     1     1   -99       1
*Off-screen              1   -99     7     7   -99   -99   146   -99   -99   -99     -99
potentially              1     5    11    11    12    55   172    10    10   -99       3
fatal                    1     5     5     5    18    56    61     4     4    -6       3
disorder                 1     5     8     8    24    57   164     4     4    -6       4
disorder                 1     5     8     8    26    57   204     6     6    -2       4
best                     1     5     4     4    40    60   175     1     1   -14      23
whose                    1     5     5     5    36    59   196     3     3     4      11
hope                     1     5     4     4    47    61   259     3     3   -11      14
best                     1     5     4     4    43    60   113     4     4     4      23
marrow                   1     5     6     6    56    64   264     2     2   -13       2
transplant               1     5    10    10    68    65   173     7     7   -12       1
from                     1     5     4     4    74    66   262     2     2    -6     248
*Off-screen              1   -99     4     4   -99   -99   234   -99   -99   -99     -99
a                        1     5     1     1    77    67   229     0     0   -99    1434
*Off-screen              1   -99     1     1   -99   -99   276   -99   -99   -99     -99
sibling,                 2     1     8     7     1    68    63     1     1     0       2
sibling,                 2     1     8     7     2    68   410     2     2    -1       2
the                      2     1     3     3    15    70   117     3     3   -13    3511
stakes                   2     1     6     6    16    71   255     0     0    -1       3
decision                 2     1     8     8    37    74   213     6     6   -21      11
of                       2     1     2     2    25    72   179     2     2    12    1757
this                     2     1     4     4    29    73   233     3     3    -4     293
decision                 2     1     8     8    33    74   214     2     2    -4      11
particularly             2     1    12    12    51    76   177     7     7   -18       8
particularly             2     1    12    12    48    76    61     4     4     3       8
particularly             2     1    12    12    44    76    61     0     0     4       8
particularly             2     1    12    12    51    76    64     7     7    -7       8
high.                    2     1     5     4    61    77   271     4     4   -10      14
*Off-screen              2   -99     5     4   -99   -99   198   -99   -99   -99     -99
*Off-screen              2   -99     5     4   -99   -99   346   -99   -99   -99     -99
critics                  2     2     7     7     2    80    99     2     2   -99      11
that                     2     2     4     4    19    82    82     3     3   -17     871
that                     2     2     4     4    18    82   163     2     2     1     871
sanctions                2     2     9     9    29    84   147     5     5   -11       4
it                       2     2     2     2    23    83   184     2     2     6     544
believe                  2     2     7     7    13    81    72     5     5    10      20
sanctions                2     2     9     9    30    84    86     6     6   -17       4
sanctions                2     2     9     9    24    84   126     0     0     6       4
*Blink                   2   -99     9     9   -99   -99    78   -99   -99   -99     -99
sanctions                2     2     9     9    32    84   123     8     8   -99       4
'designer                2     2     9     8    35    85   101     1     0    -3       2
'designer                2     2     9     8    35    85   103     1     0     0       2
'designer                2     2     9     8    42    85   185     8     7    -7       2
'designer                2     2     9     8    41    85   116     7     6     1       2
babies'                  2     2     7     6    50    86   215     6     6    -9       1
and                      2     2     3     3    55    87   113     3     3    -5    1283
not                      2     2     3     3    62    89   271     1     1    -7     277
does                     2     2     4     4    59    88   240     3     3     3      45
show                     2     2     4     4    69    90   207     4     4   -10      15
respect                  2     2     7     7    75    91   261     5     5    -6       6
*Off-screen              2   -99     7     7   -99   -99   177   -99   -99   -99     -99
for                      2     3     3     3     2    92   121     2     2   -99     519
sanctity                 2     3     8     8    14    94   158     6     6   -12       1
individual               2     3    10    10    30    96   149    10    10   -16       8
Certainly,               2     3    10     9    39    98    59     2     2    -9      21
Certainly,               2     3    10     9    39    98   211     2     2     0      21
Certainly,               2     3    10     9    46    98   247     9     9    -7      21
authority's              2     3    11    11    58   100   152     6     6   -12     -99
authority's              2     3    11    11    53   100   167     1     1     5     -99
Certainly,               2     3    10     9    46    98   111     9     9     7      21
authority's              2     3    11    11    54   100   124     2     2    -8     -99
authority's              2     3    11    11    54   100    65     2     2     0     -99
authority's              2     3    11    11    61   100   163     9     9    -7     -99
for                      2     3     3     3    72   102   294     0     0   -11     519
*Off-screen              2   -99     3     3   -99   -99   159   -99   -99   -99     -99
Shahana                  2     4     7     7     4   103   228     4     4   -99       2
and                      2     4     3     3     9   104   185     1     1    -5    1283
Shahana                  2     4     7     7     6   103   141     6     6     3       2
Hashmi's                 2     4     8     8    22   106   188     6     6   -16       2
human                    2     5     5     5    25   117    67     5     5   -99      25
for                      2     4     3     3    32   108    88     2     2   -99     519
for                      2     4     3     3    31   108   259     1     1     1     519
plea                     2     4     4     4    25   107   283     0     0     6       1
for                      2     4     3     3    32   108   238     2     2    -7     519
screening                2     4     9     9    43   110   293     1     1   -11       3
screening                2     4     9     9    50   110   140     8     8    -7       3
fundamental              2     4    11    11    59   112   107     0     0    -9       2
raises                   2     4     6     6    58   111   155     6     6     1       1
fundamental              2     4    11    11    68   112   263     9     9   -10       2
fundamental              2     4    11    11    65   112   121     6     6     3       2
questions                2     4     9     9    80   113   368     9     9   -15      10
one                      2     5     3     3    16   116    71     0     0   -99     176
producing                2     5     9     9    15   115    53     9     9     1       2
producing                2     5     9     9    14   115    74     8     8     1       2
being                    2     5     5     5    27   118   221     1     1   -13      54
human                    2     5     5     5    23   117   149     3     3     4      25
cure                     2     5     4     4    37   120   191     2     2   -14       1
to                       2     5     2     2    32   119   226     0     0     5    1597
another's                2     5     9     9    40   121   102     0     0    -8     -99
cure                     2     5     4     4    37   120    60     2     2     3       1
another's                2     5     9     9    44   121    92     4     4    -7     -99
another's                2     5     9     9    45   121    80     5     5    -1     -99
cure                     2     5     4     4    36   120   176     1     1     9       1
another's                2     5     9     9    48   121   138     8     8   -12     -99
disease.                 2     5     8     7    53   122    99     3     3    -5       5
the                      2     5     3     3    64   124   198     1     1   -11    3511
the                      2     5     3     3    63   124   184     0     0     1    3511
parents'                 2     5     8     7    72   125   125     5     5    -9      21
view                     2     5     4     4    76   126   143     0     0    -4      10
view                     2     5     4     4    78   126   153     2     2    -2      10
view                     2     5     4     4    80   126   385     4     4    -2      10
compelling.              3     1    11    10    18   130   157     4     4     0       2
simple                   3     1     6     6     4   128   269     1     1    14       6
compelling.              3     1    11    10    24   130   105    10    10   -20       2
The                      3     1     3     3    27   131    99     1     1    -3    3511
compelling.              3     1    11    10    24   130   346    10    10     3       2
The                      3     1     3     3    27   131   127     1     1    -3    3511
compelling.              3     1    11    10    14   130   194     0     0    13       2
simple                   3     1     6     6     8   128   130     5     5     6       6
simple                   3     1     6     6     4   128   185     1     1     4       6
IVF                      3     1     3     3    33   132    58     3     3   -29       1
treatment                3     1     9     9    39   133   243     5     5    -6       6
treatment                3     1     9     9    38   133   152     4     4     1       6
treatment                3     1     9     9    43   133   199     9     9    -5       6
treatment                3     1     9     9    34   133    81     0     0     9       6
