WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
Tony                     1     1     4     4     2     1   136     2     2     1      11
Blair                    1     1     5     5     9     2   139     4     4     2      34
Blair                    1     1     5     5     6     2   133     1     1     3      34
is                     -99     0     0     0     0     3     0     0     0     0       0
engaged                  1     1     7     7    19     4   282     5     5     4       4
in                       1     1     2     2    22     5   368     0     0     6    1091
low                    -99     0     0     0     0     6     0     0     0     0       0
politics                 1     1     8     8    30     7   161     1     1     5      19
politics                 1     1     8     8    30     7   168     1     1     7      19
politics                 1     1     8     8    36     7   157     7     7     9      19
on                       1     1     2     2    40     8   208     2     2     8     417
fox-hunting.             1     1    12    11    48     9   136     7     7    10     -99
fox-hunting.             1     1    12    11    42     9   292     1     1    11     -99
fox-hunting.             1     1    12    11    47     9   133     6     6    12     -99
The                    -99     0     0     0     0    10     0     0     0     0       0
timing                   1     1     6     6    60    11   260     2     2    13       3
of                     -99     0     0     0     0    12     0     0     0     0       0
this,                    1     1     5     4    69    13   229     1     1    14     293
his                      1     1     3     3    74    14   332     0     0    15     161
third                    1     2     5     5     5    15   308     5     5    16       7
initiative,              1     2    11    10    12    16   449     6     6    17       3
seems                    1     2     5     5    23    17   170     5     5    18      30
to                     -99     0     0     0     0    18     0     0     0     0       0
have                   -99     0     0     0     0    19     0     0     0     0       0
been                     1     2     4     4    34    20   213     2     2    19     178
influenced               1     2    10    10    45    21   270     8     8    20       1
by                     -99     0     0     0     0    22     0     0     0     0       0
the                      1     2     3     3    53    23   216     2     2    21    3511
need                   -99     0     0     0     0    24     0     0     0     0       0
to                     -99     0     0     0     0    25     0     0     0     0       0
get                      1     2     3     3    63    26   177     0     0    22      48
Stephen                  1     2     7     7    70    27   358     3     3    23       5
Byers                    1     2     5     5    76    28   188     1     1    24       2
through                -99     0     0     0     0    29     0     0     0     0       0
his                    -99     0     0     0     0    30     0     0     0     0       0
trial                    1     3     5     5    17    31   314     5     5    25       5
by                     -99     0     0     0     0    32     0     0     0     0       0
ordeal                   1     3     6     6    24    33   278     3     3    26       1
ordeal                   1     3     6     6    24    33   190     3     3    28       1
in                     -99     0     0     0     0    34     0     0     0     0       0
the                      1     3     3     3    33    35   213     2     2    27    3511
the                      1     3     3     3    33    35   388     2     2    29    3511
House                    1     3     5     5    39    36   250     4     4    30      26
of                     -99     0     0     0     0    37     0     0     0     0       0
Commons                  1     3     7     7    49    38   379     5     5    31      10
on                     -99     0     0     0     0    39     0     0     0     0       0
Tuesday.                 1     3     8     7    58    40   175     3     3    32       2
Not                    -99     0     0     0     0    41     0     0     0     0       0
only                     1     3     4     4    70    42   296     2     2    33      97
did                      1     3     3     3    76    43   239     3     3    34      43
it                     -99     0     0     0     0    44     0     0     0     0       0
reward                   1     4     6     6     5    45   314     5     5    35       2
Labour                 -99     0     0     0     0    46     0     0     0     0       0
backbenchers             1     4    12    12    15    47   157     1     1    36       3
for                    -99     0     0     0     0    48     0     0     0     0       0
their                    1     4     5     5    35    49   397     4     4    38     225
show                   -99     0     0     0     0    50     0     0     0     0       0
of                       1     4     2     2    43    51   184     1     1    39    1757
loyalty,                 1     4     8     7    49    52   277     4     4    40       3
but                    -99     0     0     0     0    53     0     0     0     0       0
it                     -99     0     0     0     0    54     0     0     0     0       0
helped                   1     4     6     6    61    55   204     0     0    41       8
move                     1     4     4     4    68    56   143     0     0    42      10
the                      1     4     3     3    73    57   154     0     0    43    3511
media                    1     5     5     5     4    58   287     4     4    44      12
caravan                -99     0     0     0     0    59     0     0     0     0       0
on                       1     5     2     2    14    60   279     0     0    45     417
from                     1     5     4     4    20    61   276     3     3    46     248
the                    -99     0     0     0     0    62     0     0     0     0       0
semantics                1     5     9     9    29    63   419     3     3    47       1
semantics                1     5     9     9    34    63   313     8     8    48       1
semantics                1     5     9     9    30    63   294     4     4    49       1
of                     -99     0     0     0     0    64     0     0     0     0       0
lying                    1     5     5     5    42    65   225     3     3    50       2
lying                    1     5     5     5    43    65   285     4     4    54       2
by                     -99     0     0     0     0    66     0     0     0     0       0
presenting               1     5    10    10    52    67   152     4     4    51       1
presenting               1     5    10    10    51    67   265     3     3    52       1
presenting               1     5    10    10    52    67   106     4     4    53       1
presenting               1     5    10    10    53    67   187     5     5    55       1
them                   -99     0     0     0     0    68     0     0     0     0       0
with                     1     5     4     4    64    69   183     0     0    56     393
a                      -99     0     0     0     0    70     0     0     0     0       0
new                      1     5     3     3    72    71   281     1     1    57      93
-                        1     5     1     1    75    72   168     0     0    58     -99
or,                      1     5     3     2    79    73   162     2     2    59     194
rather,                  2     1     7     6     0    74   115     0     0    60      42
rather,                  2     1     7     6     7    74   257     7     7    61      42
renewed                  2     1     7     7    13    75   455     5     5    62       2
renewed                  2     1     7     7    15    75   174     7     7    63       2
-                      -99     0     0     0     0    76     0     0     0     0       0
controversy.             2     1    12    11    26    77   272     8     8    64       3
controversy.             2     1    12    11    24    77   373     6     6    65       3
controversy.             2     1    12    11    26    77   276     8     8    66       3
However,                 2     1     8     7    40    78   173     5     5    68      38
Labour                   2     1     6     6    48    79   267     4     4    69      24
backbenchers             2     1    12    12    53    80   238     2     2    70       3
are                      2     1     3     3    64    81   161     0     0    71     351
not                      2     1     3     3    69    82   196     1     1    72     277
not                      2     1     3     3    71    82    93     3     3    73     277
so                     -99     0     0     0     0    83     0     0     0     0       0
stupid                   2     2     6     6     5    84   221     5     5    74       2
that                   -99     0     0     0     0    85     0     0     0     0       0
they                     2     2     4     4    14    86   179     2     2    75     258
can                      2     2     3     3    20    87   263     3     3    76     123
be                     -99     0     0     0     0    88     0     0     0     0       0
bought                   2     2     6     6    24    89   232     0     0    77       7
off                      2     2     3     3    34    90   294     3     3    78      28
with                   -99     0     0     0     0    91     0     0     0     0       0
yet                      2     2     3     3    41    92   257     1     1    79      49
another                  2     2     7     7    46    93   163     2     2    80      33
meaningless              2     2    11    11    57    94   379     5     5    81       1
vote                     2     2     4     4    65    95   368     1     1    82       6
that                     2     2     4     4    70    96   126     1     1    84     871
allows                   2     2     6     6    75    97   264     1     1    83       4
them                   -99     0     0     0     0    98     0     0     0     0       0
to                     -99     0     0     0     0    99     0     0     0     0       0
express                  2     3     7     7    13   100   144     5     5    85       3
their                    2     3     5     5    20   101   192     4     4    86     225
opinions                 2     3     8     8    29   102   151     7     7    87       3
and                    -99     0     0     0     0   103     0     0     0     0       0
is                       2     3     2     2    37   104   220     2     2    91     717
then                     2     3     4     4    40   105   202     2     2    88      71
forgotten.               2     3    10     9    44   106   200     1     1    90       5
forgotten.               2     3    10     9    46   106   182     3     3    92       5
Equally,                 2     3     8     7    61   107   191     7     7    93       5
Equally,                 2     3     8     7    58   107   366     4     4    95       5
public                   2     3     6     6    66   108   195     3     3    94      27
public                   2     3     6     6    68   108   287     5     5    96      27
public                   2     3     6     6    67   108   251     4     4    98      27
opinion,                 2     3     8     7    73   109   172     3     3    97       5
opinion,                 2     3     8     7    75   109   139     5     5    99       5
which                    2     4     5     5     4   110   365     4     4   100     152
which                    2     4     5     5     5   110   387     5     5   102     152
on                     -99     0     0     0     0   111     0     0     0     0       0
this                     2     4     4     4    13   112   150     4     4   101     293
this                     2     4     4     4    11   112   182     2     2   103     293
issue                    2     4     5     5    16   113   114     2     2   104      28
is                     -99     0     0     0     0   114     0     0     0     0       0
wrong                    2     4     5     5    26   115   285     3     3   105      16
wrong                    2     4     5     5    25   115   185     2     2   107      16
but                    -99     0     0     0     0   116     0     0     0     0       0
unmistakable,            2     4    13    12    36   117   131     3     3   106       1
unmistakable,            2     4    13    12    38   117   294     5     5   108       1
unmistakable,            2     4    13    12    35   117   387     2     2   109       1
unmistakable,            2     4    13    12    37   117    94     4     4   110       1
would                    2     4     5     5    51   118   180     4     4   111     146
would                    2     4     5     5    50   118   174     3     3   115     146
not                      2     4     3     3    53   119   166     0     0   114     277
easily                   2     4     6     6    61   120   296     4     4   112       8
understand               2     4    10    10    71   121   254     7     7   113      10
understand               2     4    10    10    66   121   148     2     2   116      10
understand               2     4    10    10    73   121    96     9     9   117      10
another                  2     5     7     7     2   122   191     2     2   118      33
marching                 2     5     8     8    11   123   250     3     3   119       1
of                     -99     0     0     0     0   124     0     0     0     0       0
the                      2     5     3     3    23   125   208     3     3   120    3511
the                      2     5     3     3    21   125   143     1     1   121    3511
abolitionist             2     5    12    12    29   126   241     5     5   122       1
abolitionist             2     5    12    12    34   126   230    10    10   124       1
abolitionist             2     5    12    12    34   126    66    10    10   125       1
troops                   2     5     6     6    42   127   271     5     5   126       2
up                     -99     0     0     0     0   128     0     0     0     0       0
the                      2     5     3     3    49   129   323     2     2   127    3511
hill                     2     5     4     4    55   130   171     4     4   128       1
only                   -99     0     0     0     0   131     0     0     0     0       0
for                      2     5     3     3    61   132   276     0     0   129     519
them                   -99     0     0     0     0   133     0     0     0     0       0
to                       2     5     2     2    70   134   213     0     0   130    1597
be                       2     5     2     2    74   135   202     1     1   131     423
marched                  3     1     7     7     0   136    55     0     0   132       1
down                     3     1     4     4     9   137   173     1     1   135      38
again.                   3     1     6     5    13   138    87     0     0   134      28
again.                   3     1     6     5    16   138   191     3     3   136      28
Most                     3     1     4     4    23   139   147     3     3   137      93
people                   3     1     6     6    30   140   303     5     5   138      90
think                    3     1     5     5    36   141   248     4     4   139      52
that                   -99     0     0     0     0   142     0     0     0     0       0
hunting                  3     1     7     7    45   143   340     2     2   140       5
with                     3     1     4     4    55   144   265     4     4   141     393
dogs                   -99     0     0     0     0   145     0     0     0     0       0
is                       3     1     2     2    61   146   150     0     0   142     717
cruel,                   3     1     6     5    67   147   150     3     3   143       4
that                     3     1     4     4    75   148   174     4     4   144     871
it                     -99     0     0     0     0   149     0     0     0     0       0
should                 -99     0     0     0     0   150     0     0     0     0       0
be                       3     2     2     2     7   151   281     0     0   145     423
banned                 -99     0     0     0     0   152     0     0     0     0       0
and                    -99     0     0     0     0   153     0     0     0     0       0
that                     3     2     4     4    23   154   187     2     2   146     871
the                    -99     0     0     0     0   155     0     0     0     0       0
Government               3     2    10    10    33   156    56     3     3   147      55
should                   3     2     6     6    42   157   243     1     1   148      88
get                      3     2     3     3    51   158   169     3     3   149      48
on                       3     2     2     2    53   159   318     1     1   151     417
with                     3     2     4     4    58   160   172     3     3   150     393
it.                    -99     0     0     0     0   161     0     0     0     0       0
The                    -99     0     0     0     0   162     0     0     0     0       0
real                     3     2     4     4    72   163   170     0     0   152      37
low                      3     2     3     3    77   164   207     0     0   153       6
politics                 3     3     8     8     3   165   157     3     3   154      19
of                     -99     0     0     0     0   166     0     0     0     0       0
Mr                       3     3     2     2    14   167   483     2     2   155     109
Blair's                -99     0     0     0     0   168     0     0     0     0       0
return                   3     3     6     6    26   169   313     3     3   156      10
to                     -99     0     0     0     0   170     0     0     0     0       0
this                     3     3     4     4    36   171   396     3     3   157     293
subject,               -99     0     0     0     0   172     0     0     0     0       0
therefore,               3     3    10     9    52   173   183     5     5   158       4
is                     -99     0     0     0     0   174     0     0     0     0       0
that                     3     3     4     4    64   175   363     3     3   160     871
of                       3     3     2     2    66   176   120     0     0   159    1757
reaching                 3     3     8     8    74   177   185     5     5   161       1
a                        3     3     1     1    78   178    99     0     0   162    1434
compromise               3     4    10    10     3   179   205     3     3   163       6
with                     3     4     4     4    15   180   212     4     4   165     393
the                    -99     0     0     0     0   181     0     0     0     0       0
House                    3     4     5     5    21   182   233     1     1   164      26
of                       3     4     2     2    27   183   162     1     1   166    1757
Lords.                   3     4     6     5    35   184   140     6     6   167       9
Whatever                 3     4     8     8    44   185   170     8     8   168       9
the                    -99     0     0     0     0   186     0     0     0     0       0
presentational           3     4    14    14    55   187   304     6     6   169       1
value                    3     4     5     5    67   188   346     3     3   170       8
with                   -99     0     0     0     0   189     0     0     0     0       0
his                      3     4     3     3    76   190   358     1     1   171     161
own                    -99     0     0     0     0   191     0     0     0     0       0
party                    3     5     5     5     4   192   347     0     0   172      22
of                       3     5     2     2    11   193   219     1     1   175    1757
of                       3     5     2     2    12   193   311     2     2   177    1757
occasional               3     5    10    10    16   194   310     3     3   173       2
occasional               3     5    10    10    19   194   146     6     6   178       2
confrontations           3     5    14    14    27   195   306     3     3   174       1
confrontations           3     5    14    14    26   195   139     2     2   176       1
confrontations           3     5    14    14    32   195   249     8     8   179       1
with                   -99     0     0     0     0   196     0     0     0     0       0
the                      3     5     3     3    44   197   268     0     0   180    3511
'forces                  3     5     7     6    52   198   209     4     3   181       9
'forces                  3     5     7     6    55   198   156     7     6   187       9
of                     -99     0     0     0     0   199     0     0     0     0       0
conservatism'            3     5    13    12    64   200   490     5     5   182       1
conservatism'            3     5    13    12    66   200   325     7     7   183       1
conservatism'            3     5    13    12    68   200   180     9     9   184       1
in                     -99     0     0     0     0   201     0     0     0     0       0
red                      3     5     3     3    77   202   463     1     1   185      12
red                      3     5     3     3    78   202   104     2     2   186      12
coats                    4     1     5     5     4   203   236     4     4   190       2
and                      4     1     3     3     6   204   153     0     0   189    1283
and                      4     1     3     3     7   204   183     1     1   193    1283
on                       4     1     2     2    12   205   302     2     2   192     417
horseback,               4     1    10     9    15   206   137     2     2   191       1
horseback,               4     1    10     9    19   206   277     6     6   194       1
the                    -99     0     0     0     0   207     0     0     0     0       0
Prime                    4     1     5     5    33   208   183     5     5   195      19
Prime                    4     1     5     5    30   208   196     2     2   196      19
Minister               -99     0     0     0     0   209     0     0     0     0       0
is                     -99     0     0     0     0   210     0     0     0     0       0
unlikely                 4     1     8     8    48   211   305     2     2   197       6
to                     -99     0     0     0     0   212     0     0     0     0       0
want                     4     1     4     4    60   213   338     2     2   198      40
to                     -99     0     0     0     0   214     0     0     0     0       0
provoke                  4     1     7     7    68   215   323     2     2   199       3
another                  4     2     7     7     3   216   259     3     3   200      33
full-dress               4     2    10    10    14   217   423     6     6   201     -99
showdown                 4     2     8     8    22   218   230     3     3   202       1
with                     4     2     4     4    32   219   203     4     4   203     393
the                    -99     0     0     0     0   220     0     0     0     0       0
'countryside'            4     2    13    11    42   221   413     5     4   204       2
lobby.                   4     2     6     5    51   222   103     0     0   205       2
lobby.                   4     2     6     5    55   222    52     4     4   206       2
lobby.                   4     2     6     5    54   222    66     3     3   207       2
The                    -99     0     0     0     0   223     0     0     0     0       0
last                     4     2     4     4    65   224   190     3     3   208      73
last                     4     2     4     4    65   224   102     3     3   210      73
time                     4     2     4     4    70   225   200     3     3   209     105
he                       4     2     2     2    74   226   112     2     2   211     265
picked                   4     3     6     6     3   227   123     3     3   212       2
a                      -99     0     0     0     0   228     0     0     0     0       0
fight                  -99     0     0     0     0   229     0     0     0     0       0
with                     4     3     4     4    19   230   134     4     4   214     393
them,                    4     3     5     4    24   231   162     4     4   215      80
the                    -99     0     0     0     0   232     0     0     0     0       0
Deputy                   4     3     6     6    33   233   336     3     3   216       1
Prime                    4     3     5     5    41   234   216     4     4   217      19
Minister                 4     3     8     8    48   235   259     5     5   219      24
and                    -99     0     0     0     0   236     0     0     0     0       0
a                        4     3     1     1    56   237   396     0     0   218    1434
protester                4     3     9     9    60   238   229     2     2   220       1
had                      4     3     3     3    71   239   158     3     3   221     130
to                     -99     0     0     0     0   240     0     0     0     0       0
be                       4     3     2     2    75   241   133     0     0   222     423
prised                   4     4     6     6     4   242   167     4     4   223       1
apart                  -99     0     0     0     0   243     0     0     0     0       0
in                     -99     0     0     0     0   244     0     0     0     0       0
a                        4     4     1     1    16   245   164     0     0   225    1434
flower-bed               4     4    10    10    24   246   249     6     6   226     -99
in                     -99     0     0     0     0   247     0     0     0     0       0
Rhyl                     4     4     4     4    32   248   269     0     0   227       1
Rhyl                     4     4     4     4    36   248   168     4     4   228       1
Rhyl                     4     4     4     4    36   248   255     4     4   229       1
Rhyl                     4     4     4     4    35   248   348     3     3   230       1
in                     -99     0     0     0     0   249     0     0     0     0       0
the                    -99     0     0     0     0   250     0     0     0     0       0
middle                   4     4     6     6    44   251   260     0     0   231      12
of                     -99     0     0     0     0   252     0     0     0     0       0
