WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
If                       1     1     2     2     1     1   121     1     1     0     150
you                      1     1     3     3     6     2   132     3     3    -5     179
you                      1     1     3     3     5     2   147     2     2     1     179
their                    1     1     5     5    18     4   289     3     3   -13     225
critics,                 1     1     8     7    22     5   123     1     1    -4      11
believe                  1     1     7     7    12     3   217     5     5    10      20
critics,                 1     1     8     7    25     5   155     4     4   -13      11
their                    1     1     5     5    20     4    84     5     5     5     225
noble                    1     1     5     5    35     7   412     1     1   -15       2
Lords                    1     1     5     5    40     8    70     0     0    -5       9
our                      1     1     3     3    32     6   131     2     2     8      84
have                     1     1     4     4    46     9   250     0     0   -14     361
proved                   1     1     6     6    51    10   273     0     0    -5       7
themselves               1     1    10    10    61    11   186     3     3   -10      21
supreme                  1     1     7     7    70    12   412     1     1    -9       2
spin.                    1     2     5     4    12    15   192     3     3   -99       7
Yesterday's              1     2    11    11    22    16   128     7     7   -10     -99
*Blink                   1   -99    11    11   -99   -99   110   -99   -99   -99     -99
Yesterday's              1     2    11    11    26    16   156    11    11   -99     -99
report                   1     2     6     6    30    17    57     3     3    -4       7
report                   1     2     6     6    30    17   179     3     3     0       7
cloning                  1     2     7     7    40    19   319     3     3   -10       6
from                     1     2     4     4    48    20   241     3     3    -8     248
Lords                    1     2     5     5    55    22   209     1     1    -7       9
select                   1     2     6     6    62    23   206     2     2    -7       5
committee                1     2     9     9    71    24   152     4     4    -9       8
committee                1     2     9     9    76    24   104     9     9    -5       8
*Blink                   1   -99     9     9   -99   -99    95   -99   -99   -99     -99
research                 1     3     8     8    10    27   243     0     0   -99      22
research                 1     3     8     8    12    27    73     2     2    -2      22
stem-cell                1     3     9     9     9    26   160     9     9     3     -99
research                 1     3     8     8    16    27   291     6     6    -7      22
gives                    1     3     5     5    21    28   239     2     2    -5       3
thumbs-up                1     3     9     9    31    30    72     2     2   -10     -99
*Blink                   1   -99     9     9   -99   -99    99   -99   -99   -99     -99
thumbs-up                1     3     9     9    36    30   180     7     7   -99     -99
technique                1     3     9     9    45    33   266     1     1    -9       5
to                       1     3     2     2    40    31   102     1     1     5    1597
it                       1     3     2     2    62    35   216     2     2   -22     544
offers                   1     3     6     6    70    37   328     1     1    -8       6
and                      1     4     3     3     6    39   205     0     0   -99    1283
great                    1     4     5     5    14    40   239     4     4    -8      31
hope                     1     4     4     4    20    41   233     4     4    -6      14
range                    1     4     5     5    29    44   146     2     2    -9       7
hope                     1     4     4     4    20    41   146     4     4     9      14
range                    1     4     5     5    32    44   290     5     5   -12       7
common                   1     4     6     6    40    46   135     4     4    -8       6
range                    1     4     5     5    30    44   188     3     3    10       7
diseases'.               1     4    10     8    45    47    97     2     2   -15       1
for                      1     4     3     3    24    42   214     3     3    21     519
