WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
Barrister,               1     1    10     9     8     1   210     8     8     0       3
war                      1     1     3     3    11     2   146     0     0    -3      28
war                      1     1     3     3    12     2    60     1     1    -1      28
hero,                    1     1     5     4    20     3   187     5     5    -8       3
politician.              1     1    11    10    22     4   184     1     1    -2       7
politician.              1     1    11    10    24     4   150     3     3    -2       7
politician.              1     1    11    10    30     4   218     9     9    -6       7
politician.              1     1    11    10    32     4   144    11    11    -2       7
Officially:              1     1    11    10    41     5   442     8     8    -9       2
murdered                 1     1     8     8    45     6   165     0     0    -4       3
murdered                 1     1     8     8    51     6   213     6     6    -6       3
Irish                    1     1     5     5    58     8   182     1     1    -7      19
National                 1     1     8     8    63     9   162     0     0    -5      18
National                 1     1     8     8    68     9   217     5     5    -5      18
National                 1     1     8     8    70     9    55     7     7    -2      18
Army,                    1     2     5     4    15    11   205     4     4   -99       5
March                    1     2     5     5    21    13   211     1     1    -6       5
1979.                    1     2     5     4    27    14   245     1     1    -6     -99
Unofficially:            1     2    13    12    32    15   207     0     0    -5       2
Unofficially:            1     2    13    12    34    15   270     2     2    -2       2
Unofficially:            1     2    13    12    43    15   231    11    11    -9       2
who                      1     2     3     3    54    18   300     2     2   -11     157
knew                     1     2     4     4    60    19   100     4     4    -6       7
*Off-screen              1   -99     4     4   -99   -99   224   -99   -99   -99     -99
questions:               1     3    10     9    13    23   229     2     2   -99      10
questions:               1     3    10     9    21    23   228    10    10    -8      10
involved                 1     3     8     8    31    26   249     2     2   -10      10
involved                 1     3     8     8    35    26   218     6     6    -4      10
dirty                    1     3     5     5    46    28   268     5     5   -11       4
tricks                   1     3     6     6    51    29   197     4     4    -5       1
and                      1     3     3     3    54    30   111     0     0    -3    1283
extreme                  1     3     7     7    62    31   212     4     4    -8       3
extreme                  1     3     7     7    65    31   177     7     7    -3       3
right-wing               1     3    10    10    71    32    68     5     5    -6     -99
conspiracies?            1     4    13    12    12    33   198    12    12   -99       1
Why                      1     4     3     3    15    34   160     1     1    -3      35
he                       1     4     2     2    24    36   174     2     2    -9     265
to                       1     4     2     2    31    38   170     1     1    -7    1597
And                      1     4     3     3    38    40   271     0     0    -7    1283
is                       1     4     2     2    44    41   193     2     2    -6     717
story                    1     4     5     5    53    43   195     4     4    -9      14
about                    1     4     5     5    59    44   190     4     4    -6     164
revealed?                1     4     9     8    69    47   194     2     2   -10       9
revealed?                1     4     9     8    73    47   286     6     6    -4       9
Trafalgar                1     5     9     9    15    52   235     0     0   -99     -99
Trafalgar                1     5     9     9    24    52   231     9     9    -9     -99
Square                   1     5     6     6    31    53   177     6     6    -7       2
office-workers           1     5    14    14    39    54   184     7     7    -8     -99
felt                     1     5     4     4    47    55   161     0     0    -8       9
the                      1     5     3     3    55    56   189     3     3    -8    3511
shudder.                 1     5     8     7    63    57   272     7     7    -8       1
'What                    1     5     5     4    66    58    57     1     0    -3     125
was                      1     5     3     3    73    59   231     2     2    -7     383
*Off-screen              1   -99     3     3   -99   -99   134   -99   -99   -99     -99
was                      2     1     3     3     7    61   232     0     0     0     383
question                 2     1     8     8    16    63   176     1     1    -9      12
repeated                 2     1     8     8    24    64   175     0     0    -8       2
repeated                 2     1     8     8    32    64   215     8     8    -8       2
across                   2     1     6     6    39    65   144     6     6    -7      28
London.                  2     1     7     6    48    67   180     0     0    -9      27
London.                  2     1     7     6    54    67   154     6     6    -6      27
