WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  FXNO    TXFR                                            
Now                    -99     0     0     0     0     1     0     0     0     0       0
the                    -99     0     0     0     0     2     0     0     0     0       0
BBC                      1     1     3     3    10     3   313     2     2     2      21
has                    -99     0     0     0     0     4     0     0     0     0       0
embraced                 1     1     8     8    21     5   170     5     5     1       2
embraced                 1     1     8     8    17     5   229     1     1     3       2
embraced                 1     1     8     8    22     5   197     6     6     4       2
'narrowcasting'          1     1    15    14    34     6   275     9     9     5       2
'narrowcasting'          1     1    15    14    31     6   279     6     6     7       2
'narrowcasting'          1     1    15    14    35     6   364    10    10     8       2
with                     1     1     4     4    44     7   189     3     3     6     393
its                      1     1     3     3    46     8   162     0     0     9     152
new                    -99     0     0     0     0     9     0     0     0     0       0
channels,                1     1     9     8    55    10   340     1     1    10       3
channels,                1     1     9     8    59    10   212     5     5    11       3
Boyd                     1     1     4     4    67    11   227     3     3    12       1
Tonkin                   1     1     6     6    73    12   394     4     4    13       1
asks                     1     1     4     4    79    13   142     3     3    14       2
if                     -99     0     0     0     0    14     0     0     0     0       0
TV                     -99     0     0     0     0    15     0     0     0     0       0
will                   -99     0     0     0     0    16     0     0     0     0       0
ever                     1     2     4     4    13    17   240     2     2    15      38
again                    1     2     5     5    18    18   162     2     2    16      28
surprise                 1     2     8     8    22    19   169     0     0    17       2
surprise                 1     2     8     8    27    19   230     5     5    18       2
us                     -99     0     0     0     0    20     0     0     0     0       0
with                   -99     0     0     0     0    21     0     0     0     0       0
the                      1     2     3     3    39    22   198     0     0    19    3511
unexpected.              1     2    11    10    47    23   204     4     4    20       4
unexpected.              1     2    11    10    51    23   227     8     8    21       4
On                     -99     0     0     0     0    24     0     0     0     0       0
Saturday,                1     2     9     8    65    25   322     3     3    22       2
the                      1     2     3     3    74    26   159     2     2    23    3511
BBC's                    1     3     5     5     5    27   210     5     5    24     -99
new                    -99     0     0     0     0    28     0     0     0     0       0
cultural                 1     3     8     8    12    29   156     2     2    25       7
cultural                 1     3     8     8    15    29   146     5     5    26       7
channel                  1     3     7     7    23    30   210     4     4    27       4
finally                  1     3     7     7    32    31   214     5     5    28       9
shed                   -99     0     0     0     0    32     0     0     0     0       0
the                      1     3     3     3    40    33   226     0     0    29    3511
dowdy                    1     3     5     5    47    34   188     3     3    30       1
chrysalis                1     3     9     9    54    35   550     4     4    31       1
of                     -99     0     0     0     0    36     0     0     0     0       0
Knowledge                1     3     9     9    66    37   228     3     3    32       2
Knowledge                1     3     9     9    69    37   159     6     6    33       2
to                       1     3     2     2    73    38   132     0     0    34    1597
emerge                 -99     0     0     0     0    39     0     0     0     0       0
as                     -99     0     0     0     0    40     0     0     0     0       0
a                      -99     0     0     0     0    41     0     0     0     0       0
gaudy                    1     4     5     5    13    42   199     1     1    35       1
gaudy                    1     4     5     5    16    42   135     4     4    36       1
butterfly                1     4     9     9    23    43   248     5     5    37       2
known                    1     4     5     5    32    44   123     4     4    39      16
as                       1     4     2     2    34    45   149     0     0    38     422
'Four'.                  1     4     7     4    40    46   296     3     2    40      27
Not                      1     4     3     3    48    47   150     3     3    42     277
all                      1     4     3     3    49    48   113     0     0    41     167
all                      1     4     3     3    52    48   110     3     3    43     167
of                     -99     0     0     0     0    49     0     0     0     0       0
us                       1     4     2     2    58    50   192     2     2    44      86
can                      1     4     3     3    62    51   164     3     3    45     123
stick                    1     4     5     5    66    52   133     3     3    46       1
around                   1     4     6     6    72    53   191     3     3    47      31
to                     -99     0     0     0     0    54     0     0     0     0       0
watch                    1     5     5     5     4    55   157     4     4    48      11
the                    -99     0     0     0     0    56     0     0     0     0       0
metamorphosis.           1     5    14    13    15    57   332     5     5    49       1
metamorphosis.           1     5    14    13    20    57   245    10    10    50       1
After                    1     5     5     5    30    58   188     5     5    51      62
a                      -99     0     0     0     0    59     0     0     0     0       0
first                    1     5     5     5    37    60   114     4     4    52      87
night                    1     5     5     5    43    61   202     4     4    53      12
of                     -99     0     0     0     0    62     0     0     0     0       0
joint                    1     5     5     5    51    63   241     3     3    54       3
transmission             1     5    12    12    57    64   221     3     3    55       1
transmission             1     5    12    12    66    64    92    12    12    56       1
transmission             1     5    12    12    55    64   243     1     1    60       1
with                   -99     0     0     0     0    65     0     0     0     0       0
BBC                      1     5     3     3    72    66   175     0     0    57      21
2,                       1     5     2     1    78    67   789     2     2    58     -99
Four's                   2     1     6     6     6    68   284     6     6    61     -99
six                    -99     0     0     0     0    69     0     0     0     0       0
hours                    2     1     5     5    13    70   257     2     2    62       9
hours                    2     1     5     5    16    70   171     5     5    63       9
per                    -99     0     0     0     0    71     0     0     0     0       0
day                      2     1     3     3    24    72   353     3     3    64      35
day                      2     1     3     3    21    72   135     0     0    65      35
of                       2     1     2     2    26    73   220     1     1    66    1757
arts,                    2     1     5     4    31    74   280     3     3    67       6
ideas                    2     1     5     5    37    75   264     3     3    68       7
and                    -99     0     0     0     0    76     0     0     0     0       0
reportage                2     1     9     9    49    77   290     5     5    69       3
has                      2     1     3     3    56    78    90     2     2    71     239
reverted                 2     1     8     8    58    79   100     0     0    70       1
reverted                 2     1     8     8    61    79    97     3     3    72       1
to                     -99     0     0     0     0    80     0     0     0     0       0
the                      2     1     3     3    70    81   256     0     0    73    3511
the                      2     1     3     3    72    81    96     2     2    74    3511
digital                -99     0     0     0     0    82     0     0     0     0       0
platforms                2     2     9     9    13    83   281     5     5    75       1
still                    2     2     5     5    22    84   233     4     4    76      52
closed                   2     2     6     6    28    85   159     4     4    77       7
to                     -99     0     0     0     0    86     0     0     0     0       0
the                      2     2     3     3    37    87   167     3     3    78    3511
half                     2     2     4     4    41    88   174     3     3    79      20
of                     -99     0     0     0     0    89     0     0     0     0       0
British                  2     2     7     7    50    90   188     4     4    80      77
households               2     2    10    10    59    91   218     5     5    81       1
who                    -99     0     0     0     0    92     0     0     0     0       0
can                      2     2     3     3    69    93   305     0     0    82     123
only                   -99     0     0     0     0    94     0     0     0     0       0
receive                -99     0     0     0     0    95     0     0     0     0       0
terrestrial              2     3    11    11    11    96   325     3     3    83       1
terrestrial              2     3    11    11    14    96   171     6     6    84       1
fare.                    2     3     5     4    22    97   286     2     2    85       3
Roly                     2     3     4     4    34    98   188     4     4    86       1
Roly                     2     3     4     4    32    98   322     2     2    87       1
Keating,                 2     3     8     7    37    99   270     2     2    88       2
the                    -99     0     0     0     0   100     0     0     0     0       0
corporation's            2     3    13    13    51   101   263     3     3    89     -99
corporation's            2     3    13    13    61   101   175    13    13    90     -99
doyen                    2     3     5     5    64   102    77     2     2    91       1
doyen                    2     3     5     5    64   102   329     2     2    94       1
of                       2     3     2     2    70   103   235     2     2    93    1757
arts                     2     3     4     4    72   104   186     1     1    92       6
arts                     2     3     4     4    72   104   238     1     1    95       6
who                      2     3     3     3    76   105   163     0     0    96     157
became                   2     4     6     6     3   106   241     3     3    97      22
Four's                   2     4     6     6     9   107   269     2     2    98     -99
first                    2     4     5     5    15   108   269     1     1    99      87
controller               2     4    10    10    24   109   315     4     4   100       1
in                     -99     0     0     0     0   110     0     0     0     0       0
the                      2     4     3     3    35   111   308     1     1   101    3511
new                    -99     0     0     0     0   112     0     0     0     0       0
year,                    2     4     5     4    43   113   245     1     1   102      51
will                     2     4     4     4    48   114   150     0     0   103     210
be                       2     4     2     2    53   115   228     0     0   104     423
hoping                   2     4     6     6    58   116   276     2     2   105       2
hoping                   2     4     6     6    60   116    76     4     4   106       2
to                     -99     0     0     0     0   117     0     0     0     0       0
make                     2     4     4     4    69   118   158     3     3   107      60
make                     2     4     4     4    67   118    91     1     1   108      60
his                      2     4     3     3    74   119   182     3     3   109     161
mark                     2     4     4     4    78   120   175     3     3   110      10
in                     -99     0     0     0     0   121     0     0     0     0       0
a                        2     5     1     1     4   122   244     1     1   111    1434
blaze                  -99     0     0     0     0   123     0     0     0     0       0
of                     -99     0     0     0     0   124     0     0     0     0       0
light                    2     5     5     5    15   125   270     1     1   112      11
glory.                   2     5     6     5    23   126   252     3     3   113       2
For                      2     5     3     3    30   127   153     3     3   115     519
the                      2     5     3     3    33   128   142     2     2   114    3511
BBC,                     2     5     4     3    37   129   223     2     2   116      21
a                      -99     0     0     0     0   130     0     0     0     0       0
lot                    -99     0     0     0     0   131     0     0     0     0       0
rides                    2     5     5     5    46   132   252     0     0   117       1
rides                    2     5     5     5    50   132   178     4     4   118       1
rides                    2     5     5     5    46   132   243     0     0   127       1
rides                    2     5     5     5    49   132   114     3     3   128       1
on                     -99     0     0     0     0   133     0     0     0     0       0
the                      2     5     3     3    56   134   106     1     1   120    3511
reception                2     5     9     9    59   135   138     0     0   119       1
reception                2     5     9     9    64   135   204     5     5   121       1
of                     -99     0     0     0     0   136     0     0     0     0       0
Four.                    2     5     5     4    74   137   306     2     2   122      27
Four.                    2     5     5     4    75   137   282     3     3   123      27
Four.                    2     5     5     4    77   137   438     5     5   124      27
Four.                    2     5     5     4    74   137    92     2     2   125      27
Greg                   -99     0     0     0     0   138     0     0     0     0       0
Dyke                     3     1     4     4     8   139   238     3     3   131       6
and                      3     1     3     3    11   140   148     1     1   130    1283
and                      3     1     3     3    11   140   278     1     1   132    1283
his                    -99     0     0     0     0   141     0     0     0     0       0
satraps                  3     1     7     7    18   142   242     0     0   133       1
satraps                  3     1     7     7    23   142   257     5     5   134       1
gaze                     3     1     4     4    30   143   214     4     4   135       1
gaze                     3     1     4     4    29   143   413     3     3   136       1
nervously                3     1     9     9    36   144   295     5     5   137       1
towards                  3     1     7     7    45   145   238     4     4   138      15
the                    -99     0     0     0     0   146     0     0     0     0       0
expiry                   3     1     6     6    54   147   240     1     1   139       1
expiry                   3     1     6     6    57   147   150     4     4   140       1
of                     -99     0     0     0     0   148     0     0     0     0       0
their                    3     1     5     5    64   149   173     1     1   141     225
their                    3     1     5     5    66   149   348     3     3   142     225
current                  3     1     7     7    72   150   194     3     3   143      15
Charter                -99     0     0     0     0   151     0     0     0     0       0
in                     -99     0     0     0     0   152     0     0     0     0       0
2006.                    3     2     5     4    14   153   491     3     3   144     -99
The                    -99     0     0     0     0   154     0     0     0     0       0
long-planned             3     2    12    12    23   155   234     2     2   145     -99
long-planned             3     2    12    12    29   155   214     8     8   146     -99
national                 3     2     8     8    38   156   211     4     4   147      18
national                 3     2     8     8    37   156   199     3     3   148      18
switch-over              3     2    11    11    48   157   240     5     5   149     -99
switch-over              3     2    11    11    53   157   271    10    10   150     -99
from                   -99     0     0     0     0   158     0     0     0     0       0
analogue                 3     2     8     8    62   159   202     2     2   151       1
analogue                 3     2     8     8    66   159   100     6     6   152       1
to                     -99     0     0     0     0   160     0     0     0     0       0
digital                  3     2     7     7    75   161   249     3     3   153       8
television               3     3    10    10     5   162   174     5     5   154      13
sets                     3     3     4     4    15   163   169     4     4   155       2
proceeds                 3     3     8     8    19   164   456     3     3   156       3
at                     -99     0     0     0     0   165     0     0     0     0       0
more                     3     3     4     4    29   166   221     1     1   157     168
of                     -99     0     0     0     0   167     0     0     0     0       0
a                      -99     0     0     0     0   168     0     0     0     0       0
crawl                    3     3     5     5    39   169   221     1     1   158       1
crawl                    3     3     5     5    40   169    78     2     2   159       1
than                     3     3     4     4    47   170   147     3     3   161     123
a                      -99     0     0     0     0   171     0     0     0     0       0
gallop.                  3     3     7     6    52   172   162     1     1   160       1
gallop.                  3     3     7     6    55   172   184     4     4   162       1
To                     -99     0     0     0     0   173     0     0     0     0       0
put                      3     3     3     3    62   174   201     0     0   163      26
put                      3     3     3     3    64   174    71     2     2   164      26
it                       3     3     2     2    68   175   194     2     2   165     544
bluntly,                 3     3     8     7    72   176   111     3     3   166       1
Four                   -99     0     0     0     0   177     0     0     0     0       0
not                      3     4     3     3     5   178   295     0     0   167     277
only                     3     4     4     4    10   179   231     1     1   168      97
only                     3     4     4     4     9   179   203     0     0   170      97
has                      3     4     3     3    14   180   340     0     0   169     239
to                     -99     0     0     0     0   181     0     0     0     0       0
recruit                  3     4     7     7    24   182   319     3     3   171       2
a                      -99     0     0     0     0   183     0     0     0     0       0
loyal                    3     4     5     5    34   184   268     3     3   172       2
core                     3     4     4     4    39   185   224     2     2   173       2
of                     -99     0     0     0     0   186     0     0     0     0       0
arts                     3     4     4     4    46   187   200     1     1   176       6
addicts                  3     4     7     7    51   188   199     1     1   174       2
addicts                  3     4     7     7    53   188   140     3     3   175       2
addicts                  3     4     7     7    52   188   184     2     2   177       2
and                    -99     0     0     0     0   189     0     0     0     0       0
documentary              3     4    11    11    65   190   472     3     3   178       3
demons;                  3     5     7     6     4   191   243     4     4   179       1
it                     -99     0     0     0     0   192     0     0     0     0       0
must                     3     5     4     4    11   193   173     0     0   180      31
must                     3     5     4     4    14   193    93     3     3   181      31
also                   -99     0     0     0     0   194     0     0     0     0       0
help                     3     5     4     4    21   195   251     0     0   182      21
to                       3     5     2     2    26   196   126     0     0   183    1597
persuade                 3     5     8     8    33   197   286     4     4   184       3
opinion-shifters         3     5    16    16    42   198   298     4     4   185     -99
opinion-shifters         3     5    16    16    50   198   273    12    12   186     -99
in                     -99     0     0     0     0   199     0     0     0     0       0
politics                 3     5     8     8    59   200   199     1     1   187      19
politics                 3     5     8     8    63   200    92     5     5   188      19
and                      3     5     3     3    70   201    93     3     3   190    1283
the                      3     5     3     3    72   202   163     1     1   189    3511
media                    3     5     5     5    76   203   193     1     1   191      12
media                    3     5     5     5    79   203   259     4     4   192      12
that                   -99     0     0     0     0   204     0     0     0     0       0
the                      4     1     3     3     7   205    53     2     2   194    3511
BBC                      4     1     3     3     9   206   193     0     0   193      21
BBC                      4     1     3     3    10   206   155     1     1   196      21
licence                  4     1     7     7    16   207   223     3     3   195       2
licence                  4     1     7     7    19   207   316     6     6   198       2
fee                      4     1     3     3    21   208   171     0     0   197       1
remains                  4     1     7     7    28   209   214     3     3   199       6
remains                  4     1     7     7    25   209   141     0     0   200       6
the                    -99     0     0     0     0   210     0     0     0     0       0
only                     4     1     4     4    37   211   214     0     0   201      97
only                     4     1     4     4    41   211   153     4     4   202      97
defensible               4     1    10    10    48   212   199     6     6   203       1
form                     4     1     4     4    56   213    63     3     3   205      18
of                       4     1     2     2    58   214   137     0     0   204    1757
poll-tax                 4     1     8     8    63   215   213     2     2   206     -99
poll-tax                 4     1     8     8    68   215   160     7     7   207     -99
in                     -99     0     0     0     0   216     0     0     0     0       0
700                      4     1     3     3    73   217   218     0     0   208     -99
700                      4     1     3     3    75   217   104     2     2   209     -99
years                  -99     0     0     0     0   218     0     0     0     0       0
of                     -99     0     0     0     0   219     0     0     0     0       0
British                  4     2     7     7    10   220   138     1     1   210      77
British                  4     2     7     7    14   220   224     5     5   211      77
history.                 4     2     8     7    21   221   251     4     4   212       9
Four                     4     2     4     4    32   222   253     2     2   213      27
has                    -99     0     0     0     0   223     0     0     0     0       0
won                      4     2     3     3    39   224   280     0     0   214       5
over                     4     2     4     4    45   225   292     2     2   215      76
over                     4     2     4     4    47   225   108     4     4   217      76
Downing                  4     2     7     7    49   226   175     1     1   216       4
Downing                  4     2     7     7    54   226   152     6     6   218       4
Street                   4     2     6     6    61   227   227     5     5   219      15
without                  4     2     7     7    67   228   198     4     4   220      33
too                      4     2     3     3    74   229   244     3     3   221      56
much                     4     2     4     4    77   230   170     2     2   222      97
of                     -99     0     0     0     0   231     0     0     0     0       0
a                        4     3     1     1     4   232   257     1     1   224    1434
battle.                  4     3     7     6     6   233   138     1     1   223       8
battle.                  4     3     7     6     9   233   182     4     4   225       8
The                    -99     0     0     0     0   234     0     0     0     0       0
Culture                  4     3     7     7    18   235   303     1     1   226      22
Culture                  4     3     7     7    19   235   237     2     2   229      22
Culture                  4     3     7     7    22   235    52     5     5   230      22
Secretary                4     3     9     9    31   236   149     6     6   231      13
Secretary                4     3     9     9    29   236   147     4     4   232      13
Tessa                    4     3     5     5    35   237   408     0     0   227       2
Tessa                    4     3     5     5    38   237   274     3     3   233       2
Jowell                   4     3     6     6    41   238   158     0     0   228       2
Jowell                   4     3     6     6    44   238   191     3     3   234       2
green-lighted            4     3    13    13    51   239   228     3     3   235     -99
green-lighted            4     3    13    13    57   239   210     9     9   236     -99
it                     -99     0     0     0     0   240     0     0     0     0       0
last                     4     3     4     4    66   241   391     1     1   237      73
last                     4     3     4     4    66   241   210     1     1   239      73
autumn,                  4     3     7     6    70   242   205     0     0   238       5
autumn,                  4     3     7     6    71   242    76     1     1   240       5
along                    4     4     5     5     4   243   188     4     4   241       8
with                   -99     0     0     0     0   244     0     0     0     0       0
the                      4     4     3     3    14   245   171     3     3   242    3511
BBC's                    4     4     5     5    18   246   167     3     3   243     -99
two                      4     4     3     3    23   247   124     2     2   245      43
digital                  4     4     7     7    27   248   136     2     2   244       8
children's               4     4    10    10    38   249   230     5     5   246     -99
channels.                4     4     9     8    48   250   245     4     4   247       3
channels.                4     4     9     8    53   250    62     9     9   248       3
However,                 4     4     8     7    58   251   235     4     4   249      38
backstage                4     4     9     9    66   252   206     3     3   250       2
ructions                 4     5     8     8     3   253    83     3     3   252       1
ructions                 4     5     8     8     2   253   240     2     2   254       1
from                     4     5     4     4    12   254   259     3     3   253     248
commercial               4     5    10    10    18   255   363     4     4   255       9
competitors              4     5    11    11    30   256   211     5     5   256       4
competitors              4     5    11    11    28   256   162     3     3   257       4
have                     4     5     4     4    40   257   204     3     3   258     361
delayed                  4     5     7     7    46   258   191     4     4   259       3
approval                 4     5     8     8    54   259   203     4     4   260       2
for                    -99     0     0     0     0   260     0     0     0     0       0
the                      4     5     3     3    65   261   244     2     2   261    3511
the                      4     5     3     3    63   261   199     0     0   263    3511
the                      4     5     3     3    65   261   139     2     2   264    3511
corporation's            4     5    13    13    73   262   251     6     6   262     -99
corporation's            4     5    13    13    73   262   127     6     6   265     -99
revamped                 5     1     8     8     3   263   172     3     3   267       1
youth                    5     1     5     5    10   264   149     1     1   268       7
youth                    5     1     5     5    12   264    52     3     3   269       7
service,                 5     1     8     7    19   265   281     4     4   270      25
BBC                      5     1     3     3    25   266   233     1     1   271      21
Three.                   5     1     6     5    32   267   199     4     4   272      28
Three.                   5     1     6     5    30   267   153     2     2   273      28
Three.                   5     1     6     5    34   267   268     6     6   274      28
It's                   -99     0     0     0     0   268     0     0     0     0       0
no                       5     1     2     2    45   269   267     1     1   275     117
secret                   5     1     6     6    49   270   199     2     2   276      12
secret                   5     1     6     6    51   270    97     4     4   277      12
that                   -99     0     0     0     0   271     0     0     0     0       0
the                      5     1     3     3    61   272   172     2     2   278    3511
the                      5     1     3     3    60   272    61     1     1   279    3511
Beeb's                   5     1     6     6    67   273   201     4     4   280     -99
rivals                   5     1     6     6    72   274   236     2     2   281       2
